Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/03 2:25:35 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Android;iOS;Веб-розробка,Київ,Стартап,до 10 спеціалістів,6 років,3 місяці,4500,2000,Чоловік,28,Вища,ХАІ,Pre-Intermediate
2019/12/03 8:45:08 PM GMT+2,Software Engineer,PHP,JavaScript,Laravel;Vue.js;WordPress,,,,,Веб-розробка,Віддалено,Продуктова,понад 1000,4 роки,3 місяці,4500,3000,Чоловік,28,Вища,Інший виш,Advanced
2019/12/03 8:54:48 PM GMT+2,Senior Software Engineer,Python,Не використовую,Django;Flask,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,5 років,Менше 3 місяців,4500,1500,Чоловік,28,Вища,КНУБА,Upper-Intermediate
2019/12/04 12:26:15 PM GMT+2,QA Tech Lead,,,,Automation QA,Java,,,Веб-розробка;eCommerce;Корпоративні системи,Київ,Аутсорсингова,понад 1000,8 років,3 роки,4500,400,Чоловік,28,Вища,ХНУРЕ,Upper-Intermediate
2019/12/08 10:05:46 PM GMT+2,QA Tech Lead,,,,Automation QA,Java,,,Веб-розробка,Віддалено,Продуктова,до 200,9 років,2 роки,4500,300,Чоловік,28,Вища,НТУ «ХПІ»,Upper-Intermediate
2019/12/09 10:08:17 PM GMT+2,Senior Software Engineer,C++,C,"Linux, boost",,,,,Embedded,Київ,Продуктова,понад 1000,8 років,3 місяці,4500,500,Чоловік,28,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/27 5:46:07 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Android;Desktop Applications;Веб-розробка,Харків,Аутсорсингова,до 50,6 років,3 роки,4500,1200,Чоловік,28,Дві вищих,Інший виш,Advanced
2019/12/27 2:24:17 PM GMT+2,Technical Lead,Java,SQL,Hibernate;Spring,,,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Київ,Аутстафінгова,понад 1000,6 років,1 рік,4500,900,Чоловік,28,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 10:21:17 AM GMT+2,Software Engineer,Java,Не використовую,,,,,,eCommerce,Інше,Продуктова,понад 1000,8 років,1 рік,4500,1000,Чоловік,29,Вища,НТУУ «КПІ»,Advanced
2019/12/03 12:27:45 PM GMT+2,Technical Lead,Swift,Kotlin,,,,,,Android;iOS;Веб-розробка,Київ,Продуктова,понад 1000,8 років,1 рік,4500,700,Чоловік,29,Вища,Інший виш,Upper-Intermediate
2019/12/03 1:14:44 PM GMT+2,Product Manager,,,,,,,,Веб-розробка;Фінанси та банки;Інше,Київ,Аутсорсингова,до 50,7 років,Менше 3 місяців,4500,500,Жінка,29,Вища,НТУУ «КПІ»,Advanced
2019/12/03 1:43:16 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Express;Node.js;React.js,,,,,Веб-розробка,Київ,Продуктова,до 50,7 років,Менше 3 місяців,4500,1000,Чоловік,29,Вища,Інший виш,Intermediate
2019/12/03 4:34:59 PM GMT+2,Designer,,,,,,UI/UX Designer,,Android;iOS;Gamedev,Київ,Інша,до 200,7 років,2 роки,4500,2500,Чоловік,29,Технікум / Коледж,,Upper-Intermediate
2019/12/03 6:25:39 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Angular/Angular.js,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,6 років,6 років,4500,300,Чоловік,29,Вища,ЧДУ ім. Петра Могили,Intermediate
2019/12/04 4:34:15 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Харків,Аутсорсингова,понад 1000,6 років,4 роки,4500,500,Чоловік,29,Дві вищих,ХАІ,Upper-Intermediate
2019/12/04 5:05:08 PM GMT+2,Software Engineer,C#/.NET,C#/.NET,.NET;.NET Core;ASP.NET,,,,,Веб-розробка,Львів,Аутсорсингова,до 1000,2 роки,Менше 3 місяців,4500,500,Чоловік,29,Вища,ХНУРЕ,Intermediate
2019/12/06 12:49:37 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Angular/Angular.js;React.js,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,5 років,3 роки,4500,300,Чоловік,29,Вища,,Upper-Intermediate
2019/12/07 12:37:58 AM GMT+2,Senior Software Engineer,PHP,PHP,php,,,,,eCommerce,Київ,Аутсорсингова,до 50,7 років,2 роки,4500,0,Чоловік,29,Вища,НТУ «ХПІ»,Intermediate
2019/12/15 12:26:54 PM GMT+2,Senior Software Engineer,C++,Ruby,GStreamer,,,,,Мультимедіа,Київ,Аутсорсингова,понад 1000,7 років,2 роки,4500,500,Чоловік,29,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/22 7:22:26 PM GMT+2,Senior Software Engineer,Java,JavaScript,Spring,,,,,eCommerce,Львів,Аутсорсингова,до 50,4 роки,2 роки,4500,200,Чоловік,29,Вища,,Upper-Intermediate
2019/12/24 11:04:09 AM GMT+2,Senior Software Engineer,Ruby,JavaScript,Ruby on Rails;Vue.js,,,,,Фінанси та банки;eCommerce,Львів,Продуктова,до 50,6 років,Півроку,4500,500,Чоловік,29,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/27 12:08:22 PM GMT+2,Technical Lead,C#/.NET,Python,.NET;.NET Core;Xamarin,,,,,Android;iOS;Gamedev,Дніпро,Продуктова,до 1000,7 років,3 роки,4500,600,Чоловік,29,Вища,ДНУЗТ,Upper-Intermediate
2020/01/02 3:58:22 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,jQuery;React.js,,,,,Веб-розробка,Віддалено,Аутсорсингова,до 1000,10 і більше років,1 рік,4500,1400,Чоловік,29,Вища,НметАУ,Intermediate
2020/01/02 9:42:49 PM GMT+2,Senior Software Engineer,JavaScript,Інша,Node.js;React.js;React Native,,,,,iOS,Київ,Продуктова,до 1000,7 років,Півроку,4500,700,Чоловік,29,Вища,ВНУ ім. Даля,Upper-Intermediate
2019/12/02 2:10:40 PM GMT+2,Senior Software Engineer,PHP,Go,,,,,,Веб-розробка;Корпоративні системи,Одеса,Продуктова,до 200,8 років,4 роки,4500,200,Чоловік,30,Вища,Інший виш,Upper-Intermediate
2019/12/03 11:30:54 AM GMT+2,Designer,,,,,,Product Designer,,Інше,Львів,Продуктова,до 200,9 років,1 рік,4500,0,Чоловік,30,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/03 1:43:59 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Аутстафінгова,до 1000,9 років,2 роки,4500,0,Чоловік,30,Незакінчена вища,Інший виш,Intermediate
2019/12/03 2:28:19 PM GMT+2,Senior Software Engineer,JavaScript,PHP,Express;Laravel;Node.js,,,,,Веб-розробка,Віддалено,Стартап,до 10 спеціалістів,8 років,3 роки,4500,1500,Чоловік,30,Вища,НАУ,Elementary
2019/12/03 2:44:18 PM GMT+2,Senior Software Engineer,PHP,PHP,Symfony,,,,,Веб-розробка,Київ,Стартап,до 50,7 років,1 рік,4500,0,Чоловік,30,Вища,Інший виш,Intermediate
2019/12/03 3:59:28 PM GMT+2,Senior Software Engineer,Java,Kotlin,Flutter;Xamarin;Android,,,,,Android,Київ,Аутсорсингова,понад 1000,7 років,1 рік,4500,0,Чоловік,30,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 8:52:30 PM GMT+2,Data Science,,,,,,,,eCommerce;Інше,Харків,Стартап,до 50,7 років,Менше 3 місяців,4500,1350,Чоловік,30,Вища,ХНУРЕ,Upper-Intermediate
2019/12/03 11:34:39 PM GMT+2,Technical Lead,PHP,JavaScript,,,,,,Веб-розробка,Харків,Інша,до 200,8 років,2 роки,4500,500,Чоловік,30,Вища,,Upper-Intermediate
2019/12/04 10:40:00 AM GMT+2,Technical Lead,Scala,Java,Apache Spark;Hadoop;Spring,,,,,Інше,Київ,Аутсорсингова,понад 1000,6 років,4 роки,4500,-1500,Чоловік,30,Вища,НАУ,Upper-Intermediate
2019/12/04 2:43:58 PM GMT+2,Software Engineer,JavaScript,JavaScript,Vue.js,,,,,Веб-розробка,Київ,Продуктова,до 50,2 роки,2 роки,4500,1200,Чоловік,30,Вища,ДонНТУ,Intermediate
2019/12/04 9:46:08 PM GMT+2,Team Lead,,,,,,,,eCommerce,Київ,Аутсорсингова,до 200,7 років,Півроку,4500,0,Чоловік,30,Вища,ХАІ,Advanced
2019/12/08 5:12:34 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Node.js;React.js,,,,,Веб-розробка,Київ,Продуктова,до 1000,8 років,1 рік,4500,500,Чоловік,30,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/21 9:21:51 PM GMT+2,Senior Software Engineer,Kotlin,Java,,,,,,Android,Київ,Аутстафінгова,понад 1000,5 років,Менше 3 місяців,4500,1000,Чоловік,30,Вища,НТУУ «КПІ»,Advanced
2019/12/23 5:07:43 PM GMT+2,Senior Software Engineer,Java,JavaScript,,,,,,eCommerce,Київ,Аутсорсингова,понад 1000,8 років,4 роки,4500,0,Чоловік,30,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/26 1:33:59 PM GMT+2,Senior Software Engineer,PHP,Go,,,,,,Веб-розробка,Київ,Продуктова,до 50,10 і більше років,2 роки,4500,500,Чоловік,30,Вища,Інший виш,Pre-Intermediate
2020/01/03 9:24:43 AM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Angular/Angular.js;Node.js;React.js,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,6 років,4 роки,4500,700,Чоловік,30,Вища,ДонНТУ,Upper-Intermediate
2019/12/02 2:10:50 PM GMT+2,DevOps,,,,,,,,Корпоративні системи,Львів,Аутсорсингова,до 1000,10 і більше років,Півроку,4500,500,Чоловік,31,Вища,,Intermediate
2019/12/03 10:05:29 AM GMT+2,Technical Lead,Java,Python,Angular/Angular.js;Hibernate;Spring,,,,,Веб-розробка;Фінанси та банки;eCommerce,Віддалено,Аутстафінгова,до 1000,6 років,2 роки,4500,0,Чоловік,31,Вища,Інший виш,Advanced
2019/12/03 10:10:21 AM GMT+2,Senior Software Engineer,JavaScript,Ruby,Node.js;React.js;Ruby on Rails,,,,,Веб-розробка;Корпоративні системи,Харків,Аутстафінгова,понад 1000,10 і більше років,10 і більше років,4500,100,Чоловік,31,Вища,Інший виш,Upper-Intermediate
2019/12/03 12:26:37 PM GMT+2,Senior Software Engineer,Ruby,JavaScript,Angular/Angular.js;Ruby on Rails,,,,,Веб-розробка,Львів,Продуктова,до 200,10 і більше років,Півроку,4500,1000,Чоловік,31,Вища,ДонНТУ,Intermediate
2019/12/03 4:33:22 PM GMT+2,Technical Lead,Dart,Kotlin,Flutter,,,,,Android;iOS,Харків,Аутстафінгова,до 200,7 років,5 років,4500,700,Чоловік,31,Вища,НТУ «ХПІ»,Intermediate
2019/12/03 5:29:00 PM GMT+2,Technical Lead,C#/.NET,Не використовую,.NET;.NET Core;Xamarin,,,,,Android;iOS,Київ,Аутсорсингова,до 1000,9 років,2 роки,4500,400,Чоловік,31,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:20:36 PM GMT+2,Senior Software Engineer,Ruby,Erlang,Ruby on Rails,,,,,eCommerce,Київ,Продуктова,до 50,8 років,2 роки,4500,500,Чоловік,31,Незакінчена вища,,Upper-Intermediate
2019/12/04 8:11:32 AM GMT+2,DevOps,,,,,,,,Веб-розробка;Телекомунікації;Мультимедіа,Київ,Продуктова,до 10 спеціалістів,7 років,1 рік,4500,0,Чоловік,31,Вища,Інший виш,Intermediate
2019/12/04 9:34:07 AM GMT+2,QA Tech Lead,,,,Automation QA,Java,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Київ,Аутсорсингова,понад 1000,9 років,6 років,4500,300,Чоловік,31,Кандидат,НТУУ «КПІ»,Upper-Intermediate
2019/12/04 9:39:54 PM GMT+2,Senior Software Engineer,Swift,Kotlin,,,,,,Android;iOS,Київ,Аутстафінгова,до 200,7 років,Півроку,4500,1560,Жінка,31,Кандидат,НТУУ «КПІ»,Upper-Intermediate
2019/12/06 11:06:06 PM GMT+2,Senior Software Engineer,C#/.NET,JavaScript,.NET;.NET Core;ASP.NET,,,,,Веб-розробка,Київ,Аутстафінгова,понад 1000,8 років,Менше 3 місяців,4500,400,Чоловік,31,Вища,КНЕУ,Advanced
2019/12/07 1:04:45 AM GMT+2,Product Manager,,,,,,,,Веб-розробка,Київ,Продуктова,до 200,5 років,2 роки,4500,300,Чоловік,31,Дві вищих,НАУ,Advanced
2019/12/07 6:53:28 PM GMT+2,Senior Software Engineer,Scala,Java,,,,,,Інше,Київ,Аутстафінгова,до 50,10 і більше років,Півроку,4500,450,Чоловік,31,Вища,ВНТУ,Upper-Intermediate
2019/12/16 1:27:53 AM GMT+2,Technical Lead,JavaScript,Не використовую,jQuery;React.js;Ember js,,,,,Веб-розробка;Корпоративні системи,Львів,Аутсорсингова,понад 1000,9 років,4 роки,4500,1000,Чоловік,31,Вища,ДНУ ім. Гончара,Upper-Intermediate
2019/12/16 10:23:48 AM GMT+2,Senior Software Engineer,Java,Kotlin,Hibernate;Spring;Vert.x,,,,,Мультимедіа,Інше,Продуктова,до 10 спеціалістів,9 років,4 роки,4500,200,Чоловік,31,Вища,ВНТУ,Advanced
2019/12/16 5:49:05 PM GMT+2,Technical Lead,Swift,Objective-C,,,,,,iOS,Львів,Аутсорсингова,понад 1000,9 років,2 роки,4500,0,Чоловік,31,Дві вищих,Львівська політехніка,Intermediate
2019/12/24 6:07:39 PM GMT+2,QA Tech Lead,,,,Automation QA,Іншу,,,Веб-розробка;Embedded;Інше,Київ,Аутсорсингова,до 50,10 і більше років,Півроку,4500,-300,Чоловік,31,Середня,КНУБА,Upper-Intermediate
2020/01/02 5:59:04 PM GMT+2,Project Manager,,,,,,,,Веб-розробка;Корпоративні системи,Київ,Аутсорсингова,понад 1000,10 і більше років,3 роки,4500,300,Чоловік,31,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:34:39 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Інше,Вінниця,Аутстафінгова,до 50,10 і більше років,3 роки,4500,500,Чоловік,32,Вища,Інший виш,Advanced
2019/12/03 1:47:57 PM GMT+2,Senior Software Engineer,PHP,JavaScript,Node.js;Symfony,,,,,Веб-розробка;eCommerce;Корпоративні системи,Харків,Аутстафінгова,до 200,10 і більше років,5 років,4500,400,Чоловік,32,Вища,ХНУРЕ,Upper-Intermediate
2019/12/03 4:16:13 PM GMT+2,Sales Manager,,,,,,,,Android;Веб-розробка;eCommerce,Харків,Аутсорсингова,до 200,5 років,4 роки,4500,1000,Чоловік,32,Вища,Інший виш,Advanced
2019/12/03 5:27:15 PM GMT+2,Designer,,,,,,Product Designer,,Веб-розробка;Фінанси та банки;Інше,Київ,Аутстафінгова,до 1000,7 років,2 роки,4500,0,Чоловік,32,Вища,Інший виш,Advanced
2019/12/03 9:00:18 PM GMT+2,Technical Lead,Go,Не використовую,,,,,,Веб-розробка;Інше,Львів,Аутстафінгова,понад 1000,10 і більше років,Півроку,4500,0,Чоловік,32,Вища,,Intermediate
2019/12/03 10:17:49 PM GMT+2,Technical Lead,C#/.NET,Не використовую,.NET;.NET Core;ASP.NET,,,,,Веб-розробка,Дніпро,Продуктова,до 200,10 і більше років,6 років,4500,300,Чоловік,32,Вища,ДНУ ім. Гончара,Advanced
2019/12/04 8:51:36 AM GMT+2,QA Tech Lead,,,,Performance QA,Python,,,Desktop Applications;Веб-розробка;Телекомунікації,Харків,Аутстафінгова,до 1000,9 років,Півроку,4500,500,Чоловік,32,Вища,КНЕУ,Intermediate
2019/12/04 10:05:22 AM GMT+2,Senior Software Engineer,Java,Java,Hadoop;Hibernate;Spring,,,,,Корпоративні системи,Одеса,Продуктова,до 1000,5 років,1 рік,4500,1000,Чоловік,32,Вища,Інший виш,Upper-Intermediate
2019/12/04 10:17:35 AM GMT+2,Senior Software Engineer,Swift,Objective-C,,,,,,iOS,Київ,Аутстафінгова,понад 1000,5 років,1 рік,4500,1000,Чоловік,32,Вища,,Upper-Intermediate
2019/12/04 7:21:15 PM GMT+2,Team Lead,,,,,,,,Android;iOS;Веб-розробка,Київ,Аутсорсингова,до 50,10 і більше років,Менше 3 місяців,4500,900,Чоловік,32,Незакінчена вища,Інший виш,Upper-Intermediate
2019/12/03 9:40:53 PM GMT+2,System Architect,C#/.NET,Не використовую,.NET;.NET Core;ASP.NET,,,,,Веб-розробка,Дніпро,Аутсорсингова,понад 1000,10 і більше років,4 роки,4500,500,Чоловік,41,Вища,ДНУЗТ,Upper-Intermediate
2019/12/26 11:02:04 AM GMT+2,Team Lead,,,,,,,,Веб-розробка;eCommerce,Київ,Продуктова,до 1000,10 і більше років,10 і більше років,4500,0,Чоловік,32,Вища,Інший виш,Upper-Intermediate
2019/12/26 2:50:57 PM GMT+2,Technical Lead,Java,JavaScript,React.js;React Native;Spring,,,,,Телекомунікації,Київ,Аутсорсингова,до 200,10 і більше років,2 роки,4500,0,Чоловік,32,Вища,Інший виш,Upper-Intermediate
2019/12/09 7:44:55 PM GMT+2,System Architect,C#/.NET,JavaScript,.NET Core;ASP.NET;React.js,,,,,Веб-розробка;eCommerce,Інше,Продуктова,до 200,10 і більше років,10 і більше років,4500,400,Чоловік,32,Вища,,Upper-Intermediate
2019/12/03 12:54:24 PM GMT+2,Senior Software Engineer,JavaScript,C#/.NET,.NET;React.js,,,,,Веб-розробка,Одеса,Аутстафінгова,понад 1000,10 і більше років,3 місяці,4500,625,Чоловік,33,Вища,ОНАЗ,Upper-Intermediate
2019/12/03 2:05:46 PM GMT+2,Director of Engineering / Program Director,,,,,,,,Веб-розробка;Embedded;Інше,Харків,Аутсорсингова,до 200,9 років,4 роки,4500,0,Чоловік,33,Вища,Інший виш,Advanced
2019/12/04 10:32:42 AM GMT+2,System Architect,PHP,JavaScript,Node.js;React.js;Yii,,,,,Веб-розробка;Телекомунікації;Мультимедіа,Київ,Продуктова,до 50,10 і більше років,8 років,4500,0,Чоловік,33,Вища,НАУ,Intermediate
2019/12/05 10:09:21 AM GMT+2,BI Engineer,,,,,,,,Корпоративні системи,Київ,Аутсорсингова,до 50,10 і більше років,1 рік,4500,0,Чоловік,33,Вища,НаУКМА,Advanced
2019/12/05 5:04:01 PM GMT+2,Senior Software Engineer,JavaScript,PHP,Cordova;Node.js;Vue.js,,,,,Веб-розробка,Віддалено,Продуктова,до 10 спеціалістів,5 років,Півроку,4500,1500,Чоловік,33,Незакінчена вища,,Upper-Intermediate
2019/12/08 10:53:44 PM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка;eCommerce;Корпоративні системи,Київ,Продуктова,до 50,7 років,4 роки,4500,1000,Чоловік,33,Дві вищих,НТУУ «КПІ»,Advanced
2019/12/15 7:39:12 PM GMT+2,Team Lead,,,,,,,,Gamedev,Київ,Аутстафінгова,до 10 спеціалістів,6 років,Менше 3 місяців,4500,1000,Чоловік,33,Вища,ЧДУ ім. Петра Могили,Upper-Intermediate
2019/12/03 11:39:34 AM GMT+2,System Architect,PHP,JavaScript,,,,,,Веб-розробка;eCommerce;Корпоративні системи,Дніпро,Продуктова,до 200,8 років,1 рік,4500,700,Чоловік,34,Вища,Інший виш,Intermediate
2019/12/04 4:24:49 PM GMT+2,Team Lead,,,,,,,,Веб-розробка,Київ,Аутстафінгова,до 10 спеціалістів,1 рік,1 рік,4500,300,Чоловік,34,Вища,,Upper-Intermediate
2019/12/06 11:32:34 PM GMT+2,Senior Software Engineer,JavaScript,Python,Express;Node.js;React.js,,,,,Веб-розробка,Київ,Аутстафінгова,до 10 спеціалістів,10 і більше років,1 рік,4500,1000,Чоловік,34,Дві вищих,ОНПУ,Upper-Intermediate
2019/12/07 9:12:17 AM GMT+2,Senior Software Engineer,Java,SQL,Play;Spring,,,,,Веб-розробка;Корпоративні системи,Харків,Аутстафінгова,до 1000,7 років,3 місяці,4500,1300,Жінка,34,Дві вищих,Інший виш,Upper-Intermediate
2019/12/24 11:28:35 PM GMT+2,Senior Software Engineer,C#/.NET,JavaScript,.NET;ASP.NET;jQuery,,,,,Веб-розробка,Вінниця,Аутстафінгова,до 200,10 і більше років,Менше 3 місяців,4500,750,Чоловік,34,Вища,ВНТУ,Intermediate
2019/12/03 10:34:52 AM GMT+2,Technical Lead,C#/.NET,JavaScript,.NET;.NET Core;React.js,,,,,Корпоративні системи,Харків,Аутстафінгова,понад 1000,10 і більше років,10 і більше років,4500,200,Чоловік,35,Вища,ХНУРЕ,Upper-Intermediate
2019/12/03 11:25:30 AM GMT+2,Senior QA Engineer,,,,Automation QA,Java,,,Інше,Київ,Аутсорсингова,понад 1000,10 і більше років,Півроку,4500,1000,Чоловік,35,Вища,НГУ [Дніпро],Advanced
2019/12/03 12:22:54 PM GMT+2,Software Engineer,Інша,JavaScript,Salesforce,,,,,Корпоративні системи,Київ,Аутсорсингова,понад 1000,4 роки,Менше 3 місяців,4500,2500,Чоловік,35,Вища,ХНУРЕ,Upper-Intermediate
2019/12/05 3:40:43 PM GMT+2,Senior Software Engineer,Java,Java,Angular/Angular.js;Hibernate;jQuery,,,,,Телекомунікації;Корпоративні системи;Інше,Харків,Продуктова,до 50,10 і більше років,5 років,4500,750,Чоловік,35,Вища,ХАІ,Upper-Intermediate
2019/12/24 1:42:18 PM GMT+2,Senior Software Engineer,JavaScript,Не використовую,Angular/Angular.js;React.js;Vue.js,,,,,Корпоративні системи,Львів,Аутсорсингова,до 1000,8 років,Півроку,4500,1500,Чоловік,35,Вища,КНЕУ,Intermediate
2019/12/03 10:21:00 AM GMT+2,Senior Software Engineer,Java,Інша,Spring,,,,,Веб-розробка;Корпоративні системи,Віддалено,Аутсорсингова,до 200,8 років,1 рік,4500,0,Чоловік,36,Вища,ХНУРЕ,Advanced
2019/12/03 11:36:05 AM GMT+2,Team Lead,,,,,,,,iOS,Львів,Стартап,до 10 спеціалістів,7 років,Менше 3 місяців,4500,1000,Чоловік,36,Дві вищих,Інший виш,Upper-Intermediate
2019/12/03 1:35:25 PM GMT+2,Technical Lead,JavaScript,Java,React.js;Spring;Vue.js,,,,,Веб-розробка;Корпоративні системи,Ужгород,Продуктова,до 50,10 і більше років,10 і більше років,4500,0,Чоловік,36,Вища,Інший виш,Intermediate
2019/12/03 3:00:03 PM GMT+2,Project Manager,,,,,,,,Корпоративні системи;Інше,Інше,Продуктова,понад 1000,10 і більше років,3 роки,4500,400,Чоловік,36,Вища,,Advanced
2019/12/03 6:13:33 PM GMT+2,Project Manager,,,,,,,,Веб-розробка,Київ,Аутсорсингова,до 200,10 і більше років,Півроку,4500,500,Чоловік,36,Дві вищих,НаУКМА,Advanced
2019/12/10 1:17:59 PM GMT+2,Software Engineer,C++,Python,"ROS, boost, Qt",,,,,Інше,Львів,Аутсорсингова,понад 1000,10 і більше років,1 рік,4500,500,Чоловік,36,Середня,,Upper-Intermediate
2019/12/24 12:51:12 PM GMT+2,Software Engineer,Ruby,Не використовую,Ruby on Rails,,,,,Веб-розробка,Віддалено,Продуктова,до 50,4 роки,Півроку,4500,2000,Чоловік,36,Середня,,Intermediate
2019/12/25 3:46:38 PM GMT+2,System Architect,Java,JavaScript,Hibernate;Node.js;Spring,,,,,Веб-розробка;Фінанси та банки;Корпоративні системи,Інше,Аутстафінгова,понад 1000,10 і більше років,3 місяці,4500,-400,Чоловік,36,Вища,НТУУ «КПІ»,Advanced
2019/12/03 11:43:41 AM GMT+2,Technical Lead,C#/.NET,C++,.NET;.NET Core,,,,,Desktop Applications;Корпоративні системи,Київ,Продуктова,понад 1000,10 і більше років,6 років,4500,500,Чоловік,37,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 11:52:14 AM GMT+2,Technical Lead,Python,C#/.NET,.NET Core;Flask,,,,,Веб-розробка;Корпоративні системи,Київ,Аутсорсингова,понад 1000,10 і більше років,1 рік,4500,500,Чоловік,37,Вища,,Advanced
2019/12/03 2:16:38 PM GMT+2,DevOps,,,,,,,,Gamedev,Київ,Продуктова,до 200,7 років,1 рік,4500,1000,Чоловік,37,Дві вищих,НТУУ «КПІ»,Intermediate
2019/12/03 3:46:18 PM GMT+2,Team Lead,,,,,,,,Системне програмування,Київ,Аутсорсингова,до 1000,10 і більше років,10 і більше років,4500,500,Чоловік,37,Вища,ДНУ ім. Гончара,Advanced
2019/12/03 6:07:19 PM GMT+2,Senior QA Engineer,,,,Automation QA,Іншу,,,iOS;Desktop Applications,Київ,Продуктова,до 1000,10 і більше років,6 років,4500,300,Чоловік,37,Вища,НАУ,Intermediate
2019/12/05 12:42:10 PM GMT+2,Scrum Master,,,,,,,,Desktop Applications;Корпоративні системи,Київ,Аутсорсингова,понад 1000,3 роки,Менше 3 місяців,4500,500,Чоловік,37,Вища,НТУУ «КПІ»,Upper-Intermediate
2020/01/02 7:02:29 PM GMT+2,Senior Software Engineer,Python,JavaScript,Django;jQuery,,,,,Телекомунікації,Київ,Аутстафінгова,до 50,10 і більше років,2 роки,4500,0,Чоловік,37,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 10:04:14 PM GMT+2,DevOps,,,,,,,,Фінанси та банки,Київ,Аутстафінгова,до 1000,10 і більше років,1 рік,4500,700,Чоловік,38,Вища,Інший виш,Upper-Intermediate
2019/12/03 11:35:53 AM GMT+2,Project Manager,,,,,,,,Інше,Київ,Аутсорсингова,до 1000,9 років,2 роки,4500,700,Чоловік,39,Дві вищих,,Upper-Intermediate
2019/12/03 3:07:47 PM GMT+2,QA Tech Lead,,,,General QA,C#,,,Веб-розробка;Корпоративні системи,Віддалено,Стартап,до 50,7 років,4 роки,4500,700,Чоловік,39,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/17 4:04:25 PM GMT+2,Senior Software Engineer,Java,Не використовую,Hibernate;Spring,,,,,Веб-розробка;Корпоративні системи,Київ,Аутсорсингова,до 1000,10 і більше років,5 років,4500,0,Чоловік,39,Вища,Інший виш,Upper-Intermediate
2019/12/03 10:21:08 AM GMT+2,Senior Project Manager / Program Manager,,,,,,,,Веб-розробка;Телекомунікації,Одеса,Аутстафінгова,до 1000,10 і більше років,7 років,4500,500,Чоловік,40,Дві вищих,Інший виш,Advanced
2019/12/03 12:03:50 PM GMT+2,QA Tech Lead,,,,Automation QA,Java,,,Веб-розробка,Київ,Продуктова,до 50,10 і більше років,Менше 3 місяців,4500,300,Чоловік,40,Вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 12:32:31 PM GMT+2,Technical Lead,Python,Java,Django;Flask;jQuery,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,9 років,1 рік,4500,0,Чоловік,40,Незакінчена вища,НТУУ «КПІ»,Upper-Intermediate
2019/12/04 1:27:19 AM GMT+2,Senior Software Engineer,C#/.NET,C#/.NET,.NET Core;Xamarin,,,,,Android;iOS,Київ,Аутсорсингова,понад 1000,10 і більше років,Півроку,4500,250,Чоловік,40,Вища,КНУБА,Intermediate
2019/12/08 2:56:04 PM GMT+2,Team Lead,,,,,,,,Фінанси та банки,Віддалено,Продуктова,до 200,10 і більше років,5 років,4500,200,Жінка,40,Вища,Інший виш,Upper-Intermediate
