Отметка времени,Оберіть вашу посаду,Основна мова програмування,Додаткова мова програмування,"Фреймворки, бібліотеки й платформи",Вкажіть вашу спеціалізацію,Яку мову програмування ви використовуєте у роботі?,Оберіть вашу посаду_1,Оберіть вашу посаду_2,В якій області ви працюєте?,Місто,Тип компанії,Кількість технічних спеціалістів у вашій компанії (в Україні),Загальний стаж роботи за спеціальністю,Стаж на поточному місці роботи,"Зарплата за місяць, net, після податків",Наскільки змінилась ваша зарплата за останні 12 місяців?,Стать,Вік,Освіта,ЗВО,Знання англійської мови
2019/12/03 3:26:51 PM GMT+2,Sales Manager,,,,,,,,Телекомунікації,Київ,Стартап,до 200,2 роки,1 рік,1100,450,Жінка,24,Вища,КНУ ім. Шевченка,Upper-Intermediate
2019/12/03 6:17:07 PM GMT+2,QA Engineer,,,,Automation QA,C#,,,Desktop Applications,Харків,Аутсорсингова,понад 1000,1 рік,Півроку,1100,1100,Чоловік,24,Вища,Інший виш,Intermediate
2019/12/03 9:23:56 PM GMT+2,Junior Software Engineer,JavaScript,C#/.NET,.NET;ASP.NET;jQuery,,,,,Веб-розробка;Корпоративні системи,Київ,Продуктова,до 1000,3 роки,3 роки,1100,200,Чоловік,24,Вища,НТУУ «КПІ»,Intermediate
2019/12/04 3:23:36 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Android;iOS;Gamedev,Київ,Продуктова,до 1000,3 роки,3 роки,1100,200,Жінка,24,Вища,Інший виш,Upper-Intermediate
2019/12/04 3:53:10 PM GMT+2,Data Analyst,,,,,,,,Gamedev,Київ,Продуктова,до 1000,1 рік,1 рік,1100,400,Чоловік,24,Вища,,Upper-Intermediate
2019/12/05 1:54:06 PM GMT+2,Software Engineer,JavaScript,Не використовую,React.js,,,,,Веб-розробка,Київ,Аутсорсингова,понад 1000,3 роки,Півроку,1100,400,Жінка,24,Вища,НТУУ «КПІ»,Intermediate
2019/12/08 11:00:38 PM GMT+2,Junior Software Engineer,PHP,Не використовую,jQuery;Vue.js,,,,,Веб-розробка,Київ,Аутсорсингова,до 200,2 роки,2 роки,1100,300,Чоловік,24,Вища,ВНУ ім. Даля,Pre-Intermediate
2019/12/16 12:30:19 PM GMT+2,Software Engineer,PHP,JavaScript,Laravel,,,,,Веб-розробка,Віддалено,Продуктова,до 10 спеціалістів,2 роки,Менше 3 місяців,1100,100,Чоловік,24,Вища,Інший виш,Elementary
2019/12/19 9:21:25 AM GMT+2,Junior Software Engineer,Java,JavaScript,Angular/Angular.js;Hibernate;Spring,,,,,Веб-розробка,Київ,Продуктова,до 50,1 рік,1 рік,1100,400,Чоловік,24,Вища,ДонНУ ім. Василя Стуса,Intermediate
2019/12/30 1:48:47 PM GMT+2,Junior Software Engineer,JavaScript,PHP,jQuery;React.js;Vue.js,,,,,Веб-розробка,Львів,Аутсорсингова,до 200,1 рік,1 рік,1100,650,Чоловік,24,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/02 2:36:04 PM GMT+2,Scrum Master,,,,,,,,Веб-розробка,Львів,Аутстафінгова,до 200,3 роки,3 роки,1100,350,Жінка,25,Вища,,Upper-Intermediate
2019/12/02 4:30:35 PM GMT+2,Software Engineer,JavaScript,Python,React.js;React Native,,,,,Веб-розробка,Київ,Аутсорсингова,до 10 спеціалістів,1 рік,1 рік,1100,300,Чоловік,25,Вища,Інший виш,Advanced
2019/12/03 11:26:54 AM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Android;iOS;Веб-розробка,Одеса,Аутстафінгова,до 1000,3 роки,2 роки,1100,600,Жінка,25,Вища,Інший виш,Intermediate
2019/12/03 12:31:13 PM GMT+2,Junior Software Engineer,JavaScript,Не використовую,Angular/Angular.js,,,,,Веб-розробка,Львів,Продуктова,до 200,1 рік,Півроку,1100,500,Чоловік,25,Незакінчена вища,Інший виш,Intermediate
2019/12/03 12:32:27 PM GMT+2,Project Manager,,,,,,,,Веб-розробка;Інше,Львів,Продуктова,до 50,2 роки,2 роки,1100,400,Жінка,25,Дві вищих,Львівська політехніка,Upper-Intermediate
2019/12/04 10:24:23 AM GMT+2,Software Engineer,C#/.NET,Java,.NET;Unity 3D,,,,,Gamedev,Львів,Продуктова,до 50,3 роки,Півроку,1100,200,Чоловік,25,Вища,Інший виш,Upper-Intermediate
2019/12/04 11:36:05 AM GMT+2,Software Engineer,JavaScript,Не використовую,Express;Node.js;React.js,,,,,Веб-розробка,Київ,Продуктова,до 10 спеціалістів,2 роки,2 роки,1100,400,Чоловік,25,Вища,КНУБА,Pre-Intermediate
2019/12/05 10:59:46 AM GMT+2,Project Manager,,,,,,,,Android;iOS;Веб-розробка,Харків,Аутсорсингова,до 1000,1 рік,Півроку,1100,500,Чоловік,25,Вища,Інший виш,Upper-Intermediate
2019/12/05 2:19:00 PM GMT+2,Marketing,,,,,,,,Корпоративні системи,Одеса,Продуктова,до 50,3 роки,2 роки,1100,300,Жінка,25,Дві вищих,,Upper-Intermediate
2019/12/07 2:01:23 AM GMT+2,Junior QA,,,,General QA,C#,,,Desktop Applications;Веб-розробка;Фінанси та банки,Одеса,Аутсорсингова,до 200,2 роки,2 роки,1100,700,Чоловік,25,Незакінчена вища,Інший виш,Upper-Intermediate
2019/12/19 1:31:05 PM GMT+2,Business Analyst,,,,,,,,Веб-розробка,Вінниця,Аутсорсингова,до 50,2 роки,2 роки,1100,250,Жінка,25,Вища,ВНТУ,Advanced
2019/12/23 4:32:21 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Веб-розробка;eCommerce,Київ,Аутсорсингова,понад 1000,1 рік,1 рік,1100,500,Жінка,25,Вища,Інший виш,Pre-Intermediate
2019/12/03 11:42:59 AM GMT+2,Marketing,,,,,,,,Інше,Одеса,Продуктова,до 1000,7 років,1 рік,1100,400,Чоловік,26,Вища,Інший виш,Intermediate
2019/12/03 12:14:19 PM GMT+2,Junior QA,,,,Automation QA,JavaScript,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,2 роки,2 роки,1100,500,Чоловік,26,Вища,Львівська політехніка,Upper-Intermediate
2019/12/03 1:43:36 PM GMT+2,Junior Software Engineer,Java,C++,,,,,,Desktop Applications;Веб-розробка,Харків,Продуктова,до 200,1 рік,1 рік,1100,700,Чоловік,26,Вища,ХНУ ім. Каразіна,Advanced
2019/12/03 1:48:44 PM GMT+2,Junior Software Engineer,C,Python,,,,,,Embedded,Київ,Аутсорсингова,понад 1000,2 роки,2 роки,1100,0,Чоловік,26,Ще студент,НТУУ «КПІ»,Upper-Intermediate
2019/12/03 2:37:03 PM GMT+2,Junior Software Engineer,Swift,Objective-C,,,,,,iOS,Київ,Аутсорсингова,до 50,2 роки,Півроку,1100,600,Жінка,26,Вища,ДонНТУ,Intermediate
2019/12/03 5:13:26 PM GMT+2,QA Engineer,,,,Manual QA,Java,,,Gamedev,Житомир,Продуктова,до 200,4 роки,1 рік,1100,400,Чоловік,26,Вища,Інший виш,Intermediate
2019/12/03 9:54:54 PM GMT+2,Project Manager,,,,,,,,Інше,Житомир,Аутстафінгова,до 50,5 років,2 роки,1100,400,Чоловік,26,Вища,Інший виш,Intermediate
2019/12/04 10:21:31 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Android;iOS,Київ,Продуктова,до 200,2 роки,1 рік,1100,300,Чоловік,26,Незакінчена вища,НТУУ «КПІ»,Pre-Intermediate
2019/12/09 9:11:34 PM GMT+2,QA Engineer,,,,Manual QA,,,,Android;iOS;Веб-розробка,Одеса,Аутсорсингова,до 50,2 роки,2 роки,1100,500,Чоловік,26,Вища,,Intermediate
2019/12/23 12:02:38 AM GMT+2,Marketing,,,,,,,,Інше,Львів,Продуктова,до 50,6 років,6 років,1100,100,Чоловік,26,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/24 10:43:55 AM GMT+2,Software Engineer,Kotlin,Java,,,,,,Android,Дніпро,Аутсорсингова,до 10 спеціалістів,3 роки,1 рік,1100,400,Чоловік,26,Вища,ДНУ ім. Гончара,Elementary
2019/12/24 11:27:49 AM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Desktop Applications;Веб-розробка,Дніпро,Продуктова,до 50,2 роки,2 роки,1100,200,Чоловік,26,Вища,ДНУЗТ,Elementary
2020/01/02 4:21:55 PM GMT+2,QA Engineer,,,,Automation QA,JavaScript,,,Веб-розробка,Львів,Аутсорсингова,понад 1000,5 років,3 роки,1100,270,Жінка,26,Вища,Львівська політехніка,Intermediate
2019/12/03 11:05:52 AM GMT+2,Software Engineer,Kotlin,Java,,,,,,Android,Хмельницький,Аутсорсингова,до 50,3 роки,2 роки,1100,300,Чоловік,27,Вища,ХНУ [м. Хмельницький],Intermediate
2019/12/03 12:56:18 PM GMT+2,Project Manager,,,,,,,,Веб-розробка,Харків,Аутстафінгова,до 50,3 роки,3 роки,1100,0,Чоловік,27,Вища,Інший виш,Advanced
2019/12/03 10:28:53 PM GMT+2,Marketing,,,,,,,,eCommerce,Київ,Продуктова,до 1000,7 років,1 рік,1100,200,Жінка,27,Дві вищих,ЛНУ ім. Франка,Upper-Intermediate
2019/12/04 7:33:15 AM GMT+2,Junior QA,,,,Manual QA,Не використовую,,,Інше,Київ,Продуктова,до 1000,1 рік,3 місяці,1100,700,Чоловік,27,Вища,Інший виш,Intermediate
2019/12/04 10:43:27 AM GMT+2,QA Engineer,,,,Manual QA,,,,Веб-розробка,Харків,Аутсорсингова,до 200,3 роки,3 роки,1100,300,Чоловік,27,Вища,ДонНТУ,Upper-Intermediate
2019/12/04 4:14:49 PM GMT+2,HR,,,,,,,Recruiter,Інше,Львів,Аутсорсингова,до 200,4 роки,2 роки,1100,200,Чоловік,27,Вища,ЛНУ ім. Франка,Upper-Intermediate
2019/12/10 12:30:59 PM GMT+2,Junior Software Engineer,JavaScript,PHP,jQuery,,,,,Веб-розробка;eCommerce,Київ,Аутсорсингова,до 50,3 роки,Півроку,1100,300,Чоловік,27,Вища,НАУ,Pre-Intermediate
2019/12/10 9:51:52 PM GMT+2,Designer,,,,,,Web Designer,,Desktop Applications;Інше,Київ,Аутсорсингова,до 200,2 роки,Менше 3 місяців,1100,0,Жінка,27,Вища,ЗНТУ,Upper-Intermediate
2019/12/16 5:02:33 PM GMT+2,Software Engineer,JavaScript,Не використовую,Angular/Angular.js;Express;Node.js,,,,,Веб-розробка,Київ,Аутстафінгова,до 50,1 рік,Півроку,1100,450,Чоловік,27,Вища,ЧНУ ім. Федьковича,Pre-Intermediate
2019/12/02 2:00:17 PM GMT+2,Software Engineer,JavaScript,JavaScript,Angular/Angular.js;React.js;Vue.js,,,,,Веб-розробка,Вінниця,Стартап,до 50,3 роки,2 роки,1100,500,Чоловік,28,Вища,ВНТУ,Pre-Intermediate
2019/12/02 2:48:42 PM GMT+2,QA Engineer,,,,Manual QA,Не використовую,,,Desktop Applications;Веб-розробка,Київ,Продуктова,до 50,2 роки,Півроку,1100,400,Жінка,28,Незакінчена вища,ДНУ ім. Гончара,Intermediate
