"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
143,"Киев",6300,0,"Product Manager",10,3,,,36,"мужской","Два высших","ДонНУ им. Васыля Стуса","False","продвинутый","до 50 человек","Продуктовая","Інша"
144,"Киев",6300,1600,"System Architect","0.5","0.5","C#/.NET",,32,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Продуктовая","Fintech"
145,"Киев",6300,2300,"Senior Software Engineer",5,0,"JavaScript",,27,"мужской","Высшее","КНУ им. Шевченко","False","выше среднего","до 1000 человек","Аутстаффинговая","Logistics"
146,"Киев",6300,2000,"Team/Technical Lead",10,"0.5","Golang",,29,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 10 человек","Аутстаффинговая","Big Data"
147,"Киев",6250,1500,"Senior Software Engineer",6,3,"PHP",,38,"мужской","Высшее","Другой вуз","False","выше среднего","до 200 человек","Продуктовая","Інша"
148,"Львов",6200,200,"System Architect",10,3,"JavaScript",,25,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 200 человек","Продуктовая","Cloud Computing, Telecom"
149,"Киев",6200,0,"Team/Technical Lead",10,5,"Ruby/Rails",,34,"мужской","Высшее",,"False","выше среднего","до 200 человек","Продуктовая","E-commerce, Logistics"
150,"Киев",6200,0,"Senior Software Engineer",8,"0.5","JavaScript",,28,"мужской","Высшее","ЖГТУ","False","средний","до 50 человек","Стартап","Big Data, Data Science, Machine Learning"
151,"Киев",6200,200,"DevOps",8,2,,,28,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","Fintech"
152,"Львов",6175,1000,"Team/Technical Lead",8,4,"Java",,27,"мужской","Высшее","Львовская Политехника","False","выше среднего","до 50 человек","Стартап","Edtech"
153,"Киев",6175,0,"Senior Software Engineer",10,1,"JavaScript",,32,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Продуктовая","Adtech, Big Data"
154,"Львов",6175,1225,"Team/Technical Lead",9,"0.5","C#/.NET",,29,"мужской","Незаконченное высшее","ЛНУ им. Франко","False","продвинутый","до 50 человек","Продуктовая","Robotics"
155,"Киев",6150,1150,"Senior Project manager / Program Manager",9,"0.5",,,35,"мужской","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","E-commerce"
