"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Уровень.английского","Размер.компании"
"93","Харьков",1650,900,"Software Engineer",2,1.5,"Java","",28,"мужской","Высшее","средний","свыше 1000 человек"
"94","Киев",1200,400,"Junior Software Engineer",1.75,0.75,"C#/.NET","",22,"мужской","Незаконченное высшее","средний","до 200 человек"
"95","Львов",1000,400,"Software Engineer",2,2,"C++","",20,"мужской","Незаконченное высшее","выше среднего","до 50 человек"
"96","Симферополь",300,0,"Junior QA engineer",1,0.25,"","Manual QA",22,"мужской","Высшее","средний","до 50 человек"
"97","Киев",1000,0,"Software Engineer",2,0.75,"JavaScript","",21,"мужской","Незаконченное высшее","средний","до 200 человек"
"98","Харьков",1500,600,"Software Engineer",1.5,0,"Ruby/Rails","",24,"мужской","Незаконченное высшее","выше среднего","до 200 человек"
"99","Киев",4000,800,"Senior Software Engineer",5,0.5,"Java","",26,"мужской","Высшее","выше среднего","до 50 человек"
"100","Киев",3000,800,"Technical Lead",4.5,0.25,"Ruby/Rails","",26,"мужской","Высшее","средний","до 200 человек"
"101","Киев",3100,500,"Technical Lead",8,3,"C#/.NET","",31,"мужской","Высшее","выше среднего","свыше 1000 человек"
"102","Харьков",2000,0,"Senior Software Engineer",6,0.75,"C#/.NET","",26,"мужской","Высшее","средний","до 200 человек"
"103","Запорожье",1000,660,"Junior Software Engineer",1.25,0,"Ruby/Rails","",23,"мужской","Высшее","средний","до 10 человек"
"104","Львов",2400,600,"Senior QA engineer",5.5,2.5,"","Automation QA",28,"мужской","Два высших","выше среднего","до 10 человек"
"105","Харьков",740,123,"Senior Software Engineer",1.5,1,"Other","",33,"мужской","Высшее","элементарный","до 10 человек"
"106","Днепр.",1200,0,"Junior Software Engineer",1.25,1.25,"Java","",31,"мужской","Высшее","средний","до 1000 человек"
"107","Киев",1572,0,"Software Engineer",5,2,"PHP","",31,"мужской","Незаконченное высшее","средний","до 200 человек"
"108","Харьков",1650,750,"Software Engineer",4.5,0,"JavaScript","",22,"мужской","Незаконченное высшее","средний","до 200 человек"
