"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"17","Киев",1800,800,"Software Engineer",2,0,"C#/.NET","",23,"мужской","Высшее","False","ниже среднего","до 1000 человек","Продуктовая","Корпоративные системы"
"18","Ивано-Франковск",900,100,"Software Engineer",4,1,"JavaScript","",27,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"19","Харьков",1000,150,"Software Engineer",1,0.25,"C","",23,"женский","Высшее","False","средний","до 50 человек","Продуктовая","Embedded,Телекоммуникации"
"20","Киев",1000,100,"Project manager",4,2,"","",24,"мужской","Высшее","False","средний","до 50 человек","Другая","Веб-разработка"
"21","Львов",4500,700,"Technical Lead",9,0,"C++","",30,"мужской","Кандидат","False","выше среднего","до 1000 человек","Аутсорсинговая","Embedded,Корпоративные системы"
"22","Киев",3400,1600,"Senior Software Engineer",4,0.5,"C#/.NET","",25,"мужской","Высшее","False","средний","свыше 1000 человек","Аутстаффинговая","Корпоративные системы"
"23","Одесса",400,0,"Product Manager",0,0,"","",23,"мужской","Два высших","False","средний","до 200 человек","Продуктовая","Финансы и банки"
"24","Киев",300,0,"Junior QA engineer",0.5,0.5,"","Manual QA",25,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Android,Корпоративные системы"
"25","Киев",1100,0,"Software Engineer",1,0.25,"C","",24,"мужской","Высшее","False","средний","до 10 человек","Стартап","Embedded"
"26","Одесса",3500,300,"Senior Software Engineer",10,0.25,"Ruby/Rails","",32,"мужской","Высшее","False","ниже среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"27","Харьков",200,0,"Junior Software Engineer",0.5,0.5,"Java","",26,"мужской","Незаконченное высшее","False","средний","до 200 человек","Продуктовая","Android,Телекоммуникации"
"28","Киев",4300,200,"Senior Project Manager / Program Manager",10,1,"","",36,"мужской","Высшее","False","продвинутый","до 1000 человек","Аутсорсинговая","iOS,Корпоративные системы"
"29","Запорожье",440,210,"Software Engineer",1,0.5,"Java","",28,"мужской","Два высших","False","элементарный","до 10 человек","Аутсорсинговая","Android,Веб-разработка"
"30","Одесса",5000,1000,"Technical Lead",10,4,"C#/.NET","",33,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"31","Житомир",1600,400,"Senior Software Engineer",4,4,"Java","",24,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Android"
"32","Киев",1500,500,"Бизнес-аналитик",3,0.25,"","",26,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Корпоративные системы"
"33","Киев",1200,0,"Junior Software Engineer",2,0.5,"C#/.NET","",22,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"34","Днепр.",2800,100,"Technical Lead",7,3,"C#/.NET","",28,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Windows Phone"
"35","Черкассы",750,350,"Software Engineer",1.5,0.25,"Java","",26,"женский","Высшее","False","средний","до 50 человек","Аутсорсинговая","Android"
"36","Киев",2000,1200,"Software Engineer",1,0,"C#/.NET","",23,"мужской","Два высших","False","продвинутый","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"37","Харьков",700,400,"QA engineer",1.5,0.25,"","Manual QA",23,"мужской","Высшее","False","ниже среднего","до 200 человек","Продуктовая","Gamedev"
"38","Харьков",1450,150,"Software Engineer",2,1,"JavaScript","",26,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"39","Днепр.",2000,0,"Software Engineer",4,1,"Java","",25,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","eCommerce"
"40","Харьков",3400,-680,"Senior Software Engineer",8,1,"C#/.NET","",30,"мужской","Высшее","False","продвинутый","до 200 человек","Аутстаффинговая","Веб-разработка"
"41","Киев",212,0,"Support",1,1,"","",22,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Финансы и банки"
"42","Одесса",1700,100,"QA engineer",3,1.5,"","Manual QA",23,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Другое"
"43","Кировоград",700,100,"QA engineer",6,2,"","Automation QA",28,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Android,Веб-разработка"
"44","Днепр.",200,0,"Junior QA engineer",1,0.5,"","Manual QA",23,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Android,iOS"
"45","Другой",160,0,"Software Engineer",4,4,"Delphi","",28,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","Desktop Applications"
"46","Киев",1050,150,"Senior Software Engineer",6,1.5,"Delphi","",31,"мужской","Незаконченное высшее","False","средний","до 50 человек","Другая","Android,Desktop Applications"
"47","Днепр.",3500,0,"Senior Software Engineer",7,3,"Ruby/Rails","",27,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"48","Житомир",220,0,"Junior Software Engineer",1.5,1,"Java","",23,"мужской","Незаконченное высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"49","Киев",3500,0,"Senior Software Engineer",10,6,"Objective-C","",39,"мужской","Высшее","False","элементарный","до 10 человек","Продуктовая","Desktop Applications"
"50","Харьков",1900,100,"Верстальщик",7,6,"","",30,"мужской","Два высших","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"51","Киев",2500,1500,"Senior Software Engineer",5,1,"Python","",27,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"52","Черкассы",3000,1000,"Senior Software Engineer",5,0.25,"JavaScript","",24,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Android,Веб-разработка"
"53","Киев",700,200,"Software Engineer",1.5,1.5,"PHP","",22,"мужской","Незаконченное высшее","True","ниже среднего","до 50 человек","Стартап","Веб-разработка"
"54","Киев",4000,0,"Software Engineer",5,1.5,"Objective-C","",35,"мужской","Высшее","False","выше среднего","до 10 человек","Продуктовая","iOS"
"55","Днепр.",800,400,"QA engineer",2,2,"","Manual QA",28,"мужской","Два высших","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"56","Харьков",2090,700,"Software Engineer",3,0.5,"Java","",25,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","eCommerce"
"57","Киев",700,0,"HR",3,1.5,"","",23,"женский","Незаконченное высшее","False","выше среднего","до 1000 человек","Продуктовая","Другое"
"58","Киев",1800,300,"Software Engineer",6,0.25,"PHP","",26,"мужской","Незаконченное высшее","False","выше среднего","до 10 человек","Продуктовая","eCommerce"
"59","Другой",800,0,"Junior Software Engineer",0.5,0.5,"Java","",21,"мужской","Высшее","True","выше среднего","до 200 человек","Аутсорсинговая","Android"
"60","Киев",1200,200,"Software Engineer",1,0,"JavaScript","",25,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"61","Днепр.",500,-500,"Senior Software Engineer",7,5,"1С","",28,"мужской","Высшее","False","ниже среднего","до 10 человек","Другая","Desktop Applications,Корпоративные системы"
"62","Киев",2880,1680,"Senior Software Engineer",6,0,"Python","",27,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Мультимедиа,Другое"
"63","Одесса",1200,200,"QA engineer",3,1.5,"","General QA",24,"мужской","Два высших","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"64","Киев",2900,600,"Senior Software Engineer",4,0.5,"JavaScript","",23,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"65","Днепр.",286,44,"Системный администратор",5,3,"","",30,"мужской","Высшее","False","средний","до 200 человек","Другая","Телекоммуникации,Корпоративные системы"
"66","Киев",4080,100,"Team lead",10,9,"","",34,"мужской","Высшее","False","продвинутый","до 50 человек","Аутстаффинговая","Desktop Applications,Корпоративные системы"
"67","Днепр.",2700,0,"Senior Software Engineer",5,5,"Objective-C","",29,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","iOS"
"68","Другой",1500,700,"Software Engineer",2,0.5,"PHP","",26,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"69","Харьков",1600,300,"Software Engineer",3,3,"C#/.NET","",23,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Desktop Applications,Gamedev"
"70","Житомир",300,-400,"Software Engineer",9,9,"Other","",30,"мужской","Незаконченное высшее","False","средний","до 10 человек","Продуктовая","Desktop Applications,Финансы и банки"
"71","Киев",1300,300,"Software Engineer",1.5,1.5,"Java","",25,"мужской","Высшее","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"72","Киев",2200,0,"Software Engineer",3,0,"Java","",27,"мужской","Высшее","False","средний","до 50 человек","Стартап","Android"
"73","Одесса",2000,600,"QA engineer",5,1.5,"","Automation QA",28,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка"
"74","Днепр.",2400,500,"Software Engineer",3,2,"C#/.NET","",23,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Корпоративные системы"
"75","Харьков",1500,300,"Software Engineer",2,2,"C#/.NET","",24,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Windows Phone,Веб-разработка"
"76","Львов",1000,400,"Software Engineer",1.5,0.25,"C#/.NET","",21,"мужской","Незаконченное высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"77","Одесса",3500,0,"Project manager",5,4,"","",30,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","iOS,Gamedev"
"78","Житомир",2500,0,"Software Engineer",4,0,"C#/.NET","",27,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"79","Киев",1000,0,"Бизнес-аналитик",6,3,"","",32,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"80","Харьков",4200,0,"Senior Software Engineer",6,1,"Java","",29,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","Веб-разработка,Финансы и банки"
"81","Киев",2800,800,"Software Engineer",5,3,"Ruby/Rails","",29,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка"
"82","Киев",2800,0,"Software Engineer",4,0.5,"Objective-C","",29,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","iOS"
"83","Черновцы",1600,500,"QA Tech Lead",2,2,"","Manual QA",27,"мужской","Высшее","False","продвинутый","до 1000 человек","Аутсорсинговая","Android,iOS"
"84","Днепр.",1461,0,"Software Engineer",3,3,"Java","",26,"женский","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"85","Киев",2500,500,"Software Engineer",0.25,0.5,"JavaScript","",25,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"86","Киев",2500,-2000,"System Architect",10,7,"C#/.NET","",36,"мужской","Высшее","False","выше среднего","до 1000 человек","Другая","Системное программирование,Корпоративные системы"
"87","Киев",4000,500,"Technical Lead",5,2,"PHP","",24,"мужской","Незаконченное высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"88","Киев",360,100,"Data Scientist / Data Analyst",2,2,"","",24,"женский","Два высших","False","выше среднего","до 1000 человек","Другая","Телекоммуникации"
"89","Киев",1650,650,"Software Engineer",2,1.5,"C#/.NET","",20,"мужской","Незаконченное высшее","True","продвинутый","до 50 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"90","Харьков",3200,100,"Senior Software Engineer",9,4,"Java","",33,"мужской","Два высших","False","выше среднего","до 1000 человек","Аутстаффинговая","Веб-разработка"
"91","Киев",3000,1500,"Senior Software Engineer",4,0,"JavaScript","",31,"мужской","Техникум / Колледж","False","ниже среднего","до 50 человек","Продуктовая","Телекоммуникации"
"92","Киев",2500,500,"Project manager",3,2,"","",27,"женский","Высшее","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,Мультимедиа"
"93","Киев",2000,1000,"Software Engineer",5,0.5,"PHP","",27,"мужской","Незаконченное высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка,eCommerce"
"94","Киев",1450,450,"QA engineer",3,1,"","General QA",25,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Android,Веб-разработка"
"95","Киев",3250,600,"Senior QA engineer",5,5,"","Automation QA",29,"мужской","Два высших","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"96","Черкассы",2050,350,"Software Engineer",5,1,"Ruby/Rails","",27,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"97","Киев",2000,200,"Software Engineer",4,2,"PHP","",25,"мужской","Высшее","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка"
"98","Киев",3800,100,"Technical Lead",7,2,"PHP","",28,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"99","Одесса",800,500,"Junior Software Engineer",1.5,0.25,"C++","",21,"мужской","Незаконченное высшее","True","средний","до 50 человек","Продуктовая","Desktop Applications"
"100","Харьков",1800,0,"Software Engineer",7,1,"Python","",31,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка,Другое"
"101","Киев",1160,-340,"Бизнес-аналитик",5,0.5,"","",28,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Телекоммуникации,Финансы и банки"
"102","Киев",1400,0,"Software Engineer",10,3,"C++","",33,"мужской","Высшее","False","ниже среднего","до 1000 человек","Продуктовая","Desktop Applications,Другое"
"103","Киев",975,0,"Project manager",1,0.25,"","",31,"женский","Высшее","False","выше среднего","до 200 человек","Продуктовая","Другое"
"104","Киев",4000,300,"Technical Lead",7,2,"Objective-C","",27,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","iOS"
"105","Киев",1800,850,"Software Engineer",1,1,"Java","",22,"мужской","Высшее","False","выше среднего","до 50 человек","Стартап","Android"
"106","Киев",1400,-1600,"Senior Software Engineer",10,1,"JavaScript","",30,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Финансы и банки"
"107","Киев",3700,200,"Project manager",3,1,"","",33,"мужской","Техникум / Колледж","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"108","Киев",100,0,"Junior Software Engineer",0,0,"C++","",23,"мужской","Незаконченное высшее","True","ниже среднего","до 50 человек","Стартап","Финансы и банки"
"109","Житомир",730,110,"QA engineer",4,4,"","General QA",30,"мужской","Два высших","False","средний","до 200 человек","Продуктовая","Android,iOS"
"110","Харьков",1000,200,"Junior QA engineer",1.5,1.5,"","General QA",24,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"111","Харьков",2300,500,"Software Engineer",4,2,"C#/.NET","",24,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"112","Винница",1400,300,"Junior Software Engineer",8,1.5,"Java","",31,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Телекоммуникации"
"113","Львов",1500,400,"Software Engineer",7,0.5,"JavaScript","",29,"мужской","Высшее","False","ниже среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"114","Одесса",3100,100,"Senior Software Engineer",8,2,"Java","",43,"мужской","Незаконченное высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"115","Киев",2600,300,"Senior Software Engineer",4,1,"PHP","",22,"мужской","Среднее","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка,eCommerce"
"116","Киев",1500,200,"Верстальщик",3,1,"","",25,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"117","Киев",3200,0,"Senior Software Engineer",4,4,"Scala","",25,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"118","Одесса",2800,300,"Software Engineer",3,0,"Objective-C","",24,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","iOS"
"119","Днепр.",730,0,"HR",4,0.5,"","",31,"женский","Два высших","False","продвинутый","свыше 1000 человек","Продуктовая","Gamedev,eCommerce"
"120","Киев",5000,400,"Team lead",6,1,"","",28,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Другое"
"121","Черновцы",1600,100,"Senior Software Engineer",8,7,"PHP","",28,"мужской","Высшее","False","выше среднего","до 10 человек","Аутсорсинговая","Веб-разработка"
"122","Киев",2500,700,"Senior Software Engineer",4,1,"PHP","",22,"мужской","Незаконченное высшее","False","средний","до 10 человек","Продуктовая","iOS,Финансы и банки"
"123","Львов",1500,1100,"Software Engineer",6,0.5,"Ruby/Rails","",26,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"124","Днепр.",750,150,"Junior Software Engineer",1.5,1.5,"Java","",22,"мужской","Незаконченное высшее","True","средний","свыше 1000 человек","Продуктовая","eCommerce"
"125","Киев",5000,1500,"Senior Software Engineer",10,0.5,"C#/.NET","",34,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"126","Днепр.",3500,500,"Technical Lead",9,2,"PHP","",32,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","eCommerce"
"127","Харьков",2500,500,"Senior QA engineer",5,3,"","Automation QA",30,"мужской","Высшее","True","ниже среднего","до 1000 человек","Аутсорсинговая","Android,Веб-разработка"
"128","Киев",600,0,"Junior QA engineer",0.5,0.5,"","Automation QA",25,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Финансы и банки"
"129","Киев",340,-75,"Junior Software Engineer",1.5,1.5,"C#/.NET","",28,"женский","Высшее","False","выше среднего","до 50 человек","Другая","Desktop Applications,Телекоммуникации"
"130","Киев",2300,300,"Software Engineer",3,3,"C#/.NET","",23,"мужской","Незаконченное высшее","True","средний","до 200 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"131","Хмельницкий",715,-285,"Дизайнер",3,3,"","",26,"женский","Высшее","False","средний","до 10 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"132","Киев",4200,700,"Senior Software Engineer",8,2,"JavaScript","",28,"мужской","Высшее","False","средний","до 10 человек","Стартап","Веб-разработка"
"133","Харьков",2000,0,"Дизайнер",6,1,"","",25,"мужской","Незаконченное высшее","False","выше среднего","до 1000 человек","Продуктовая","Gamedev"
"134","Киев",3000,1000,"Senior Software Engineer",4,0.25,"C#/.NET","",24,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Android,iOS"
"135","Киев",850,100,"Junior Software Engineer",3,0.5,"JavaScript","",23,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"136","Киев",1000,500,"Верстальщик",1,1,"","",23,"мужской","Высшее","True","средний","до 200 человек","Продуктовая","Веб-разработка,eCommerce"
"137","Харьков",1600,200,"Senior QA engineer",4,1,"","Manual QA",27,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","iOS,Веб-разработка"
"138","Львов",1500,800,"QA engineer",3,0.5,"","General QA",28,"женский","Высшее","False","продвинутый","до 50 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"139","Харьков",3950,300,"Senior Software Engineer",8,3,"C#/.NET","",26,"мужской","Высшее","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"140","Львов",1600,400,"Senior Software Engineer",4,4,"C++","",27,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Embedded"
"141","Хмельницкий",2400,-150,"Software Engineer",7,7,"Java","",29,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Корпоративные системы"
"142","Днепр.",1350,350,"Software Engineer",3,3,"Objective-C","",25,"мужской","Высшее","False","продвинутый","до 200 человек","Аутсорсинговая","iOS"
"143","Киев",3850,250,"Technical Lead",6,1,"Java","",25,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"144","Киев",630,0,"Junior QA engineer",0.25,0,"","Manual QA",24,"женский","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"145","Кировоград",175,0,"Junior Software Engineer",0,0,"C#/.NET","",21,"мужской","Высшее","True","ниже среднего","до 50 человек","Аутсорсинговая","Desktop Applications,Другое"
"146","Кировоград",2800,0,"Senior Software Engineer",7,1,"PHP","",35,"мужской","Высшее","False","ниже среднего","до 10 человек","Аутсорсинговая","Веб-разработка"
"147","Киев",1440,900,"QA engineer",2,0,"","General QA",32,"мужской","Два высших","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка"
"148","Харьков",670,200,"Junior QA engineer",0.5,0.5,"","Automation QA",38,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"149","Киев",750,300,"Junior Software Engineer",1.5,1.5,"Objective-C","",20,"мужской","Незаконченное высшее","True","средний","до 10 человек","Аутсорсинговая","iOS"
"150","Львов",6000,500,"Director of Engineering / Program Director",10,10,"","",35,"мужской","Два высших","False","продвинутый","до 1000 человек","Аутсорсинговая",""
"151","Киев",1000,-1200,"Junior Software Engineer",0,0,"Java","",24,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Gamedev"
"152","Харьков",700,400,"Software Engineer",1,0,"PHP","",25,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"153","Харьков",2300,300,"Project manager",5,3,"","",25,"женский","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Android,iOS"
"154","Киев",1500,700,"HR",3,0.5,"","",27,"женский","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Другое"
"155","Львов",800,0,"Software Engineer",0.25,0,"Ruby/Rails","",27,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"156","Киев",600,100,"Junior QA engineer",1,1,"","Manual QA",25,"мужской","Два высших","False","продвинутый","до 200 человек","Продуктовая","Android,iOS"
"157","Киев",3150,650,"Team lead",4,4,"","",30,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"158","Киев",3300,800,"Software Engineer",5,1,"C#/.NET","",27,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,Другое"
"159","Харьков",3150,0,"Software Engineer",4,1,"C#/.NET","",27,"мужской","Два высших","False","средний","до 1000 человек","Аутстаффинговая","Веб-разработка"
"160","Харьков",3700,200,"Senior Software Engineer",9,7,"C#/.NET","",32,"мужской","Высшее","False","выше среднего","до 200 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"161","Киев",3300,300,"Senior Software Engineer",5,4,"C#/.NET","",27,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Desktop Applications"
"162","Харьков",300,200,"Junior Software Engineer",2,0,"Other","",26,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Другое"
"163","Ужгород",2880,480,"Technical Lead",4,1.5,"JavaScript","",24,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","eCommerce"
"164","Киев",1200,600,"QA engineer",3,0,"","General QA",27,"мужской","Высшее","False","средний","свыше 1000 человек","Аутстаффинговая","Финансы и банки"
"165","Черкассы",1000,200,"Technical Lead",3,3,"Perl","",23,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка,Другое"
"166","Киев",3000,800,"Software Engineer",5,1.5,"C#/.NET","",27,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"167","Харьков",1200,350,"Software Engineer",3,2,"Objective-C","",25,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","iOS"
"168","Ивано-Франковск",600,100,"Junior Software Engineer",1,1,"Java","",20,"мужской","Незаконченное высшее","True","средний","до 200 человек","Аутсорсинговая","Android,Веб-разработка"
"169","Чернигов",1000,0,"Software Engineer",3,2,"Java","",25,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"170","Харьков",3500,300,"Senior Software Engineer",10,1,"Objective-C","",36,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","iOS"
"171","Харьков",2100,2100,"Software Engineer",8,1,"Java","",37,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Android"
"172","Львов",1200,200,"QA engineer",2,1.5,"","Automation QA",26,"мужской","Высшее","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"173","Хмельницкий",400,100,"Junior Software Engineer",0.5,0,"C#/.NET","",20,"мужской","Незаконченное высшее","True","элементарный","до 50 человек","Продуктовая","Desktop Applications"
