"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"70","Киев",3200,300,"Project manager",5,1,"","",29,"мужской","Два высших","НАУ","False","продвинутый","до 1000 человек","Аутстаффинговая","Веб-разработка,Другое"
"71","Днепр",1500,0,"Team lead",5,5,"","",27,"женский","Высшее","ДНУЖТ","False","выше среднего","до 1000 человек","Аутсорсинговая","Desktop Applications"
"72","Киев",3500,1500,"Senior Software Engineer",6,0.5,"C","",35,"мужской","Кандидат","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Продуктовая","Embedded,Системное программирование"
"73","Одесса",400,200,"Sysadmin",2,0.25,"","",24,"мужской","Высшее","ОНПУ","False","ниже среднего","до 10 человек","Другая","Системное программирование,Корпоративные системы"
"74","Львов",2300,400,"Software Engineer",3,1,"C#/.NET","",31,"мужской","Высшее","Другой вуз","False","выше среднего","до 1000 человек","Аутстаффинговая","Desktop Applications,Корпоративные системы"
"75","Львов",700,400,"Junior QA engineer",1,1,"","Manual QA",26,"мужской","Высшее","Другой вуз","False","ниже среднего","до 50 человек","Продуктовая","Веб-разработка"
"76","Киев",2000,0,"Project manager",1,1,"","",29,"мужской","Техникум / Колледж","","False","ниже среднего","до 200 человек","Продуктовая","Gamedev"
"77","Львов",3300,200,"Senior Software Engineer",9,0.25,"C#/.NET","",34,"мужской","Высшее","Другой вуз","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"78","Киев",2200,200,"Software Engineer",9,2,"Java","",39,"мужской","Среднее","","False","ниже среднего","до 200 человек","Продуктовая","eCommerce,Корпоративные системы"
"79","Киев",3000,0,"Senior Software Engineer",10,8,"PHP","",32,"мужской","Высшее","НАУ","False","выше среднего","до 10 человек","Аутсорсинговая","Веб-разработка"
"80","Киев",1700,300,"Software Engineer",3,1,"C#/.NET","",29,"мужской","Два высших","Другой вуз","False","выше среднего","до 1000 человек","Продуктовая","Корпоративные системы"
"81","Чернигов",600,100,"Junior Software Engineer",1.5,0.5,"PHP","",19,"мужской","Среднее","","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Другое"
"82","Удаленно",600,0,"Junior Software Engineer",1.5,1,"Python","",25,"мужской","Высшее","НАУ","False","выше среднего","до 10 человек","Стартап","Веб-разработка,Другое"
"83","Киев",1000,0,"QA engineer",2,1,"","Manual QA",27,"мужской","Высшее","НАУ","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"84","Днепр",2700,400,"Software Engineer",4,0.25,"Java","",28,"мужской","Высшее","ДНУ им. Гончара","False","средний","свыше 1000 человек","Аутсорсинговая","Корпоративные системы"
"85","Киев",2200,0,"QA engineer",10,0,"","Manual QA",37,"мужской","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"86","Харьков",1425,1125,"QA engineer",2,2,"","Automation QA",27,"мужской","Высшее","Другой вуз","False","средний","до 200 человек","Продуктовая","Веб-разработка"
"87","Киев",1900,1300,"Software Engineer",2,0.25,"Java","",21,"мужской","Высшее","ЧГУ им. Петра Могилы","False","продвинутый","до 1000 человек","Продуктовая","Android"
"88","Запорожье",500,50,"Support",10,6,"","",33,"мужской","Высшее","Другой вуз","False","ниже среднего","до 1000 человек","Другая","Другое"
"89","Киев",4800,500,"Technical Lead",10,2,"C#/.NET","",36,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","eCommerce"
"90","Днепр",550,0,"Marketing",2,0,"","",24,"женский","Высшее","НметАУ","False","ниже среднего","до 200 человек","Аутстаффинговая","Другое"
"91","Киев",1250,600,"HR",2,0.5,"","",28,"женский","Высшее","ЗНТУ","False","выше среднего","до 200 человек","Продуктовая","Другое"
"92","Харьков",350,350,"Junior Software Engineer",0.5,0.5,"PHP","",20,"мужской","Незаконченное высшее","ХНУРЭ","True","средний","до 10 человек","Стартап","Веб-разработка"
"93","Днепр",350,175,"Junior Software Engineer",0.5,0.5,"C#/.NET","",21,"мужской","Высшее","ДНУ им. Гончара","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"94","Киев",1100,600,"Junior Software Engineer",1.5,0.5,"JavaScript","",19,"мужской","Незаконченное высшее","КНУ им. Шевченко","True","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
