"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"7603","Киев",1500,0,"HR",10,3,"","",36,"женский","Высшее","НАУ","False","продвинутый","до 1000 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"7604","Киев",1500,500,"Software Engineer",2,0,"Swift","",21,"мужской","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Аутсорсинговая","iOS"
"7605","Черкассы",600,200,"QA engineer",2,2,"","Automation QA",40,"мужской","Высшее","Другой вуз","False","средний","до 10 человек","Стартап","Android,iOS"
"7606","Киев",3300,400,"QA Tech Lead",7,2,"","General QA",31,"мужской","Высшее","ДонНТУ","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Телекоммуникации,Финансы и банки"
"7607","Другой",500,100,"Software Engineer",5,3,"JavaScript","",25,"мужской","Среднее","","False","элементарный","до 10 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"7608","Киев",550,150,"Junior Software Engineer",1,1,"JavaScript","",25,"мужской","Высшее","НАУ","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка"
"7609","Ивано-Франковск",140,-300,"Sysadmin",10,10,"","",32,"мужской","Высшее","Другой вуз","False","ниже среднего","свыше 1000 человек","Другая","Телекоммуникации,Корпоративные системы"
"7610","Киев",400,0,"Junior QA engineer",0.25,0.25,"","General QA",23,"женский","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Стартап","iOS,Веб-разработка"
"7611","Одесса",4500,500,"Project manager",10,7,"","",35,"мужской","Высшее","ОНПУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Embedded"
"7612","Харьков",500,50,"HTML coder",1,1,"","",28,"мужской","Высшее","Другой вуз","False","средний","до 1000 человек","Другая","Веб-разработка"
"7613","Киев",4000,250,"Senior Project Manager / Program Manager",10,9,"","",34,"мужской","Высшее","НАУ","False","ниже среднего","до 200 человек","Другая","Desktop Applications,Embedded"
"7614","Львов",600,0,"Research Engineer",0.25,0.25,"","",20,"женский","Незаконченное высшее","ЛНУ им. Франко","True","выше среднего","свыше 1000 человек","Аутсорсинговая","Другое"
"7615","Киев",800,400,"Designer",2,0.5,"","",24,"мужской","Высшее","КНУСА","False","продвинутый","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"7616","Киев",5000,2000,"Technical Lead",7,1.5,"C#/.NET","",23,"мужской","Среднее","","False","средний","до 50 человек","Аутсорсинговая","Gamedev"
"7617","Харьков",150,0,"Software Engineer",4,1.5,"Java","",27,"мужской","Высшее","ХНУРЭ","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка"
"7618","Львов",5000,0,"System Architect",10,2,"Java","",36,"мужской","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Другое"
"7619","Запорожье",500,0,"Designer",6,0,"","",22,"мужской","Высшее","Другой вуз","False","выше среднего","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"7620","Львов",350,50,"Junior Software Engineer",6,0.25,"JavaScript","",25,"мужской","Высшее","Львовская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"7621","Львов",300,0,"Junior Software Engineer",0.5,0.5,"Java","",20,"мужской","Незаконченное высшее","ЛНУ им. Франко","True","средний","до 1000 человек","Продуктовая","Android"
