"city","experience","salary","position","freq"
"Дніпро","4-6 років","1500 - 2000","Designer",1
"Дніпро","4-6 років","1500 - 2000","DevOps Engineer",1
"Дніпро","4-6 років","1500 - 2000","People partner / Happiness manager",1
"Дніпро","4-6 років","1500 - 2000","Program Manager",1
"Дніпро","4-6 років","1500 - 2000","Project Manager",1
"Дніпро","4-6 років","1500 - 2000","Recruiter",3
"Дніпро","4-6 років","1500 - 2000","Talent Acquisition Manager",1
"Дніпро","4-6 років","1500 - 2000","Technical writer",1
"Дніпро","4-6 років","1500 - 2000","UI / UX Designer",1
"Дніпро","4-6 років","2000 - 2500","Business Analyst",2
"Дніпро","4-6 років","2000 - 2500","Data Engineer / Big Data Engineer",1
"Дніпро","4-6 років","2000 - 2500","Product Designer",1
"Дніпро","4-6 років","2000 - 2500","Project Manager",1
"Дніпро","4-6 років","2500 - 3000","Business Analyst",2
"Дніпро","4-6 років","2500 - 3000","Marketing Manager",1
"Дніпро","4-6 років","2500 - 3000","Recruiter",1
"Дніпро","4-6 років","2500 - 3000","UI / UX Designer",1
"Дніпро","4-6 років","3000 - 3500","Business Analyst",1
"Дніпро","4-6 років","3000 - 3500","ERP/CRM",1
"Дніпро","4-6 років","3000 - 3500","Product Analyst",1
"Дніпро","4-6 років","3000 - 3500","Project Manager",3
"Дніпро","4-6 років","3500 - 4000","Product Manager",1
"Дніпро","4-6 років","3500 - 4000","Project Manager",2
"Дніпро","4-6 років","3500 - 4000","Security Specialist",1
"Дніпро","4-6 років","3500 - 4000","UI / UX Designer",1
"Дніпро","4-6 років","4000 - 4500","Business Analyst",1
"Дніпро","4-6 років","4000 - 4500","DevOps Engineer",1
"Дніпро","4-6 років","4000 - 4500","Product Manager",2
"Дніпро","4-6 років","4500 - 5000","Business Analyst",1
"Дніпро","4-6 років","4500 - 5000","ERP/CRM",1
"Дніпро","4-6 років","4500 - 5000","Project Manager",1
"Дніпро","4-6 років","500 - 1000","Employer Brand Manager",1
"Дніпро","4-6 років","500 - 1000","Graphic Designer",1
"Дніпро","4-6 років","500 - 1000","Illustrator",1
"Дніпро","4-6 років","500 - 1000","Recruiter",2
"Дніпро","4-6 років","500 - 1000","Sales Manager",1
"Дніпро","4-6 років","500 - 1000","Support",3
"Дніпро","4-6 років","5000 - 5500","DevOps Engineer",1
"Дніпро","4-6 років","6500 +","DevOps Engineer",1
"Дніпро","7-10 років","1000 - 1500","UI / UX Designer",1
"Дніпро","7-10 років","1500 - 2000","Project Manager",2
"Дніпро","7-10 років","1500 - 2000","Support",1
"Дніпро","7-10 років","1500 - 2000","SysAdmin",1
"Дніпро","7-10 років","2000 - 2500","Business Analyst",2
"Дніпро","7-10 років","2000 - 2500","Project Manager",1
"Дніпро","7-10 років","3000 - 3500","Business Analyst",1
"Дніпро","7-10 років","3000 - 3500","DevOps Engineer",1
"Дніпро","7-10 років","3000 - 3500","UI / UX Designer",1
"Дніпро","7-10 років","3500 - 4000","Delivery Manager",1
"Дніпро","7-10 років","4000 - 4500","Game Developer",1
"Дніпро","7-10 років","4000 - 4500","Project Manager",1
"Дніпро","7-10 років","4500 - 5000","Business Analyst",2
"Дніпро","7-10 років","500 - 1000","Marketing Manager",1
"Дніпро","7-10 років","500 - 1000","Project Manager",4
"Дніпро","7-10 років","500 - 1000","SMM Manager",1
"Дніпро","7-10 років","500 - 1000","Support",1
