"Город","Зарплата.в.месяц","Изменение.зарплаты","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
"13","Днепр.",3000,300,"Technical Lead",8,8,"Java","",30,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Финансы и банки"
"14","Харьков",1500,200,"Senior Software Engineer",6,5,"JavaScript","",25,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка"
"15","Одесса",2500,300,"Senior Software Engineer",6.5,2,"Other","",25,"мужской","Высшее","False","продвинутый","до 10 человек","Продуктовая","Android,Телекоммуникации"
"16","Харьков",700,300,"Software Engineer",1.75,1.75,"Python","",23,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"17","Харьков",1200,500,"Software Engineer",1.75,1.75,"C#/.NET","",22,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Другое"
"18","Львов",3200,200,"Senior Software Engineer",5,5,"C++","",29,"мужской","Кандидат","False","выше среднего","до 1000 человек","Аутсорсинговая","Desktop Applications"
"19","Винница",1400,650,"Software Engineer",2,2,"JavaScript","",25,"женский","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"20","Киев",2200,600,"Senior QA engineer",2.5,1,"","General QA",27,"женский","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Android,iOS"
"21","Днепр.",2600,900,"Technical Lead",4.5,3,"JavaScript","",26,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"22","Киев",2660,0,"Senior Software Engineer",3.5,1.5,"SQL","",28,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Корпоративные системы"
"23","Одесса",3000,500,"Team lead",5.5,2,"","",25,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Desktop Applications"
"24","Запорожье",1500,400,"Project manager",1.75,1.75,"","",25,"мужской","Высшее","True","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"25","Киев",2800,0,"Software Engineer",6,0.5,"C#/.NET","",33,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"26","Днепр.",500,0,"Junior QA engineer",0.75,0.75,"","General QA",31,"женский","Высшее","False","средний","до 50 человек","Продуктовая","Android,iOS"
"27","Харьков",1250,450,"QA engineer",2.5,2.5,"","General QA",28,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","Desktop Applications,Корпоративные системы"
"28","Киев",620,0,"Системный администратор",10,3.5,"","",32,"мужской","Высшее","False","ниже среднего","до 10 человек","Другая","Другое"
"29","Запорожье",1500,500,"Software Engineer",5.5,0.5,"PHP","",24,"мужской","Высшее","False","выше среднего","до 50 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"30","Львов",2500,1000,"Senior Software Engineer",7,0.75,"PHP","",29,"мужской","Два высших","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"31","Киев",2500,800,"Software Engineer",7.5,0.75,"C#/.NET","",31,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"32","Киев",3200,1400,"Senior QA engineer",4,0.25,"","Automation QA",31,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Мультимедиа"
"33","Харьков",3200,0,"Software Engineer",10,0,"Ruby/Rails","",30,"мужской","Высшее","False","средний","до 200 человек","Аутстаффинговая","Веб-разработка"
"34","Киев",2300,300,"Software Engineer",5.5,5.5,"C#/.NET","",27,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Веб-разработка,Корпоративные системы"
"35","Львов",2000,200,"Project manager",0.5,0.5,"","",24,"мужской","Высшее","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"36","Днепр.",2500,700,"Senior Software Engineer",5,3,"JavaScript","",24,"мужской","Высшее","False","продвинутый","до 200 человек","Продуктовая","Веб-разработка"
"37","Киев",1200,400,"Junior Software Engineer",1,0.5,"JavaScript","",19,"мужской","Незаконченное высшее","True","средний","до 10 человек","Стартап","Веб-разработка"
"38","Днепр.",2000,500,"Senior Software Engineer",4,0.5,"JavaScript","",30,"мужской","Два высших","False","ниже среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"39","Харьков",900,550,"Junior QA engineer",1,1,"","General QA",24,"мужской","Высшее","False","выше среднего","до 10 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"40","Харьков",2250,1200,"Software Engineer",2.5,1,"PHP","",30,"мужской","Высшее","False","средний","до 50 человек","Аутстаффинговая","Веб-разработка"
"41","Киев",3000,1500,"Senior Software Engineer",6,0,"Objective-C","",27,"мужской","Незаконченное высшее","False","ниже среднего","до 10 человек","Стартап","iOS"
"42","Харьков",2900,300,"Team lead",5.5,3,"","",23,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"43","Львов",3325,1100,"Senior Software Engineer",7,0.5,"SQL","",30,"мужской","Незаконченное высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Финансы и банки,Корпоративные системы"
"44","Днепр.",1700,700,"Software Engineer",1.75,1.75,"PHP","",28,"мужской","Высшее","False","средний","до 1000 человек","Другая","Веб-разработка"
"45","Львов",2000,150,"Software Engineer",5,5,"Java","",30,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Android,Финансы и банки"
"46","Львов",600,600,"Junior Software Engineer",0.75,0.75,"C++","",22,"мужской","Среднее","False","элементарный","до 10 человек","Стартап","Embedded,Системное программирование"
"47","Львов",1700,600,"Senior QA engineer",3.5,1.75,"","Manual QA",23,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Android,iOS"
"48","Харьков",1000,600,"QA engineer",1.75,0.75,"","General QA",27,"мужской","Высшее","False","элементарный","до 200 человек","Аутсорсинговая","Windows Phone,eCommerce"
"49","Киев",2500,400,"Software Engineer",2,1.5,"Java","",24,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Телекоммуникации"
"50","Винница",1700,300,"Software Engineer",6.5,1.25,"PHP","",27,"мужской","Высшее","False","средний","до 50 человек","Аутстаффинговая","Веб-разработка"
"51","Львов",1100,800,"QA engineer",4,1.25,"","Manual QA",26,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Desktop Applications"
"52","Мариуполь",350,0,"Junior QA engineer",0.5,0.5,"","General QA",22,"женский","Высшее","False","средний","до 200 человек","Аутсорсинговая","Android,iOS"
"53","Киев",4000,500,"Team lead",10,0.75,"","",32,"мужской","Высшее","False","средний","свыше 1000 человек","Аутстаффинговая","Финансы и банки"
"54","Львов",2500,1400,"Senior Software Engineer",3.5,0,"Java","",29,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Android,Корпоративные системы"
"55","Черкассы",1500,800,"Software Engineer",1.25,1.25,"Ruby/Rails","",28,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"56","Киев",2500,500,"Project manager",4,2,"","",29,"мужской","Высшее","False","продвинутый","до 10 человек","Продуктовая","Веб-разработка"
"57","Киев",320,0,"Junior Software Engineer",1,1,"Python","",22,"мужской","Незаконченное высшее","True","выше среднего","до 10 человек","Продуктовая","Desktop Applications,Корпоративные системы"
"58","Харьков",700,400,"Junior Software Engineer",1.25,1.25,"C#/.NET","",29,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"59","Львов",4500,2100,"Software Engineer",5,0.5,"JavaScript","",26,"мужской","Высшее","False","продвинутый","до 50 человек","Другая","Веб-разработка"
"60","Киев",600,150,"Junior Software Engineer",1,0.75,"C++","",21,"мужской","Незаконченное высшее","True","выше среднего","до 1000 человек","Аутсорсинговая","Мультимедиа"
"61","Киев",3500,900,"Software Engineer",10,0.5,"Perl","",32,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Корпоративные системы"
"62","Харьков",1800,700,"Дизайнер",7,0.5,"","",24,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"63","Киев",1800,300,"QA engineer",2,0.75,"","General QA",23,"мужской","Высшее","False","ниже среднего","до 200 человек","Продуктовая","Веб-разработка"
"64","Севастополь",2750,150,"Team lead",3,2,"","",24,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"65","Киев",2000,600,"Software Engineer",2.5,0,"PHP","",23,"мужской","Незаконченное высшее","True","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"66","Киев",1700,200,"Технический писатель",4,0.75,"","",25,"женский","Высшее","False","продвинутый","до 200 человек","Продуктовая","Веб-разработка"
"67","Харьков",2500,300,"Senior Software Engineer",7,0,"PHP","",27,"мужской","Высшее","False","средний","до 50 человек","Аутстаффинговая","Веб-разработка,eCommerce"
"68","Днепр.",1300,700,"Project manager",2.5,1.25,"","",22,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Gamedev"
"69","Харьков",1800,1200,"Software Engineer",1.5,0,"C#/.NET","",33,"мужской","Высшее","False","средний","до 10 человек","Стартап","Веб-разработка"
"70","Львов",1710,150,"Software Engineer",0,0,"PHP","",25,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"71","Киев",2500,0,"Software Engineer",10,0.25,"Java","",34,"мужской","Среднее","False","средний","до 10 человек","Продуктовая","Веб-разработка,Финансы и банки"
"72","Киев",3400,350,"Team lead",7.5,2,"","",30,"женский","Два высших","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"73","Сумы",400,62,"Software Engineer",2,1,"PHP","",22,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"74","Львов",3800,700,"Team lead",10,0.75,"","",34,"мужской","Два высших","False","продвинутый","до 10 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"75","Киев",2500,500,"Software Engineer",3,3,"Java","",26,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"76","Киев",4000,0,"Technical Lead",7,0.5,"JavaScript","",28,"мужской","Высшее","False","выше среднего","до 10 человек","Стартап","Веб-разработка"
"77","Киев",2150,650,"Software Engineer",3,3,"Python","",23,"мужской","Высшее","False","выше среднего","до 50 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"78","Киев",4500,500,"Senior Software Engineer",6.5,0,"Python","",25,"мужской","Высшее","False","выше среднего","до 10 человек","Продуктовая","Веб-разработка,eCommerce"
"79","Киев",3400,600,"Software Engineer",3,1,"PHP","",26,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"80","Харьков",700,0,"QA engineer",2.5,0.75,"","Manual QA",24,"мужской","Высшее","False","ниже среднего","до 200 человек","Аутстаффинговая","Android,iOS"
"81","Ивано-Франковск",500,0,"Software Engineer",2.5,2.5,"PHP","",24,"мужской","Высшее","False","ниже среднего","до 10 человек","Другая","Веб-разработка"
"82","Запорожье",4000,0,"Дизайнер",10,1,"","",32,"мужской","Высшее","False","выше среднего","до 10 человек","Стартап","Другое"
"83","Луганск",2000,0,"Senior Software Engineer",4,2,"Flex/Flash/AIR","",30,"мужской","Высшее","False","средний","до 10 человек","Другая","Gamedev"
"84","Днепр.",2000,0,"Software Engineer",4.5,4.5,"Java","",24,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Корпоративные системы"
"85","Днепр.",2300,750,"Software Engineer",2.5,1,"Java","",32,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Финансы и банки"
"86","Киев",3500,300,"Senior Software Engineer",5,0.5,"Flex/Flash/AIR","",26,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Финансы и банки"
"87","Киев",1180,500,"QA engineer",2.5,2.5,"","Manual QA",25,"мужской","Высшее","False","ниже среднего","до 50 человек","Продуктовая","Android,iOS"
"88","Харьков",3500,300,"Technical Lead",9,8,"PHP","",30,"мужской","Высшее","False","ниже среднего","до 1000 человек","Аутсорсинговая","Веб-разработка"
"89","Львов",800,200,"QA engineer",2.5,2.5,"","General QA",27,"женский","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Другое"
"90","Киев",2000,500,"Software Engineer",3,0.5,"PHP","",24,"мужской","Высшее","False","выше среднего","до 10 человек","Стартап","Веб-разработка"
"91","Киев",2500,200,"Дизайнер",9,7,"","",30,"мужской","Среднее","False","элементарный","до 50 человек","Продуктовая","Веб-разработка"
"92","Киев",3500,0,"Director of Engineering / Program Director",10,1.5,"","",35,"мужской","Два высших","False","средний","до 50 человек","Продуктовая","Desktop Applications,Системное программирование"
"93","Львов",2600,200,"Software Engineer",6.5,3,"C#/.NET","",27,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Desktop Applications,Другое"
"94","Одесса",3900,500,"Senior Software Engineer",9,2,"JavaScript","",27,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"95","Львов",450,0,"Support",0.25,0.25,"","",21,"мужской","Незаконченное высшее","True","выше среднего","до 1000 человек","Аутсорсинговая","Другое"
"96","Донецк",2100,100,"Senior QA engineer",10,6,"","Automation QA",35,"мужской","Высшее","False","средний","до 200 человек","Продуктовая","Веб-разработка,Телекоммуникации"
"97","Киев",900,0,"Junior Software Engineer",1.5,0,"Java","",24,"женский","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"98","Львов",2100,400,"Software Engineer",3.5,3.5,"PHP","",26,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"99","Винница",2300,100,"Technical Lead",10,5.5,"Other","",31,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Gamedev"
"100","Днепр.",900,400,"Junior Software Engineer",1.5,1.25,"PHP","",22,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Финансы и банки"
"101","Севастополь",2160,100,"Senior Software Engineer",7,6.5,"C#/.NET","",28,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Desktop Applications,Финансы и банки"
"102","Днепр.",700,0,"Junior Software Engineer",0.25,0.25,"Java","",22,"мужской","Незаконченное высшее","True","выше среднего","до 50 человек","Аутсорсинговая","Android"
"103","Харьков",1900,0,"Software Engineer",3,3,"C","",31,"мужской","Кандидат","False","продвинутый","до 200 человек","Продуктовая","Embedded,Телекоммуникации"
"104","Харьков",2200,300,"Senior Software Engineer",6.5,2.5,"Java","",30,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"105","Киев",2800,-700,"Technical Lead",10,0.5,"JavaScript","",29,"мужской","Высшее","False","средний","до 1000 человек","Продуктовая","Веб-разработка"
"106","Львов",1100,400,"Software Engineer",2,2,"SQL","",24,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","eCommerce"
"107","Харьков",1800,100,"Верстальщик",6.5,5.5,"","",28,"мужской","Два высших","False","ниже среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"108","Киев",2300,600,"Software Engineer",10,2,"C++","",33,"мужской","Высшее","False","ниже среднего","до 10 человек","Аутсорсинговая","Desktop Applications,Другое"
"109","Киев",1800,0,"Software Engineer",10,1.5,"Other","",33,"мужской","Высшее","False","элементарный","до 50 человек","Аутстаффинговая","Корпоративные системы"
"110","Днепр.",3100,0,"Senior Software Engineer",4,2,"Ruby/Rails","",25,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"111","Киев",2200,500,"Senior Software Engineer",7,1.5,"PHP","",30,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка"
"112","Львов",600,200,"Junior Software Engineer",0,1,"Java","",22,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Android"
"113","Киев",3000,1000,"Senior Software Engineer",2,0.5,"Ruby/Rails","",27,"мужской","Среднее","False","средний","до 50 человек","Продуктовая","Веб-разработка,Мультимедиа"
"114","Киев",3000,600,"Technical Lead",10,5.5,"JavaScript","",32,"мужской","Высшее","False","средний","до 50 человек","Продуктовая","Веб-разработка"
"115","Львов",700,0,"Sales manager",1.5,0.75,"","",28,"мужской","Высшее","False","продвинутый","до 50 человек","Аутсорсинговая","Android,iOS"
"116","Киев",1100,400,"Junior Software Engineer",2,1.5,"Java","",25,"мужской","Высшее","False","средний","до 50 человек","Другая","Android,Gamedev"
"117","Львов",2700,1000,"Senior Software Engineer",4,0.25,"Java","",25,"мужской","Высшее","False","выше среднего","до 10 человек","Стартап","Android"
"118","Киев",4000,700,"System Architect / Системный архитектор",5,0.5,"PHP","",25,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутстаффинговая","eCommerce,Корпоративные системы"
"119","Харьков",3000,400,"Senior QA engineer",7,2.5,"","Automation QA",29,"мужской","Высшее","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"120","Ивано-Франковск",450,150,"Junior Software Engineer",2.5,1,"Java","",26,"мужской","Высшее","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Embedded"
"121","Львов",1300,700,"Software Engineer",2.5,0.75,"C#/.NET","",28,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"122","Киев",1500,300,"Software Engineer",10,2.5,"C++","",36,"мужской","Высшее","False","ниже среднего","до 10 человек","Другая","Android,iOS"
"123","Киев",1700,600,"Верстальщик",6,2,"","",26,"мужской","Незаконченное высшее","False","средний","до 50 человек","Другая","Веб-разработка,Мультимедиа"
"124","Киев",3400,500,"Senior Software Engineer",9.5,3,"JavaScript","",29,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"125","Киев",2500,500,"Software Engineer",2.5,1.25,"JavaScript","",25,"мужской","Высшее","False","выше среднего","до 50 человек","Стартап","Веб-разработка"
"126","Днепр.",1900,200,"Software Engineer",8,3,"Java","",33,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","eCommerce"
"127","Киев",750,0,"Junior Software Engineer",0,0.5,"C#/.NET","",19,"мужской","Незаконченное высшее","True","средний","до 50 человек","Аутстаффинговая","Windows Phone,Embedded"
"128","Киев",2600,0,"Software Engineer",3,0.5,"Java","",31,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Телекоммуникации,Корпоративные системы"
"129","Одесса",1600,600,"Software Engineer",2,2,"Java","",23,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Корпоративные системы"
"130","Харьков",2300,300,"Software Engineer",3,0.5,"Java","",24,"мужской","Высшее","False","средний","до 1000 человек","Аутстаффинговая","Веб-разработка,Телекоммуникации"
"131","Киев",1700,475,"Software Engineer",3.5,3,"C#/.NET","",22,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"132","Житомир",2500,0,"Software Engineer",4,3,"Python","",22,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"133","Киев",3000,0,"Software Engineer",3.5,0.5,"Objective-C","",25,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","iOS,Веб-разработка"
"134","Харьков",1400,900,"Software Engineer",2.5,1,"C#/.NET","",22,"мужской","Незаконченное высшее","False","средний","до 50 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"135","Киев",3300,500,"Senior Software Engineer",6.5,1.75,"Objective-C","",26,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","iOS,Веб-разработка"
"136","Львов",1600,600,"Software Engineer",3.5,1.5,"JavaScript","",22,"мужской","Высшее","False","выше среднего","до 200 человек","Аутстаффинговая","Веб-разработка"
"137","Киев",1800,700,"Support",3,0.75,"","",25,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Телекоммуникации"
"138","Киев",3900,1400,"Technical Lead",6,1,"C#/.NET","",27,"мужской","Высшее","False","продвинутый","до 50 человек","Продуктовая","Desktop Applications"
"139","Киев",2100,300,"Software Engineer",6,2.5,"C#/.NET","",27,"мужской","Незаконченное высшее","False","средний","свыше 1000 человек","Аутстаффинговая","Веб-разработка,Корпоративные системы"
"140","Одесса",2200,700,"Software Engineer",10,1.5,"Java","",33,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Корпоративные системы"
"141","Луганск",1300,700,"Software Engineer",1.25,1.25,"Java","",23,"мужской","Высшее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка"
"142","Житомир",500,0,"Software Engineer",0,0,"C++","",23,"мужской","Высшее","False","средний","до 10 человек","Продуктовая","Desktop Applications"
"143","Киев",3500,1500,"Director of Engineering / Program Director",9,1.25,"","",24,"мужской","Среднее","False","выше среднего","до 50 человек","Продуктовая","Веб-разработка,Системное программирование"
"144","Черновцы",1000,600,"QA engineer",2,2,"","Manual QA",26,"женский","Два высших","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"145","Киев",2750,700,"Software Engineer",3,1,"Java","",29,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Веб-разработка,eCommerce"
"146","Киев",2850,350,"Technical Lead",7,3.5,"SQL","",29,"мужской","Высшее","False","средний","до 1000 человек","Аутсорсинговая","Мультимедиа"
"147","Львов",1600,1000,"Software Engineer",3.5,1,"C#/.NET","",20,"мужской","Незаконченное высшее","False","средний","до 50 человек","Аутсорсинговая","Desktop Applications,Корпоративные системы"
"148","Киев",2750,250,"Бизнес-аналитик",3,1.5,"","",27,"мужской","Высшее","False","выше среднего","до 1000 человек","Продуктовая","Телекоммуникации,Корпоративные системы"
"149","Харьков",1300,700,"Software Engineer",1.5,1.5,"C#/.NET","",23,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","Веб-разработка"
"150","Киев",2650,150,"Senior QA engineer",5,1.25,"","Automation QA",27,"женский","Высшее","False","продвинутый","до 200 человек","Аутсорсинговая",""
"151","Одесса",2500,0,"Team lead",2,2,"","",31,"мужской","Высшее","False","средний","до 50 человек","Аутсорсинговая","Android"
"152","Харьков",800,200,"Software Engineer",3.5,2.5,"PHP","",23,"мужской","Высшее","False","ниже среднего","до 10 человек","Стартап","Веб-разработка"
"153","Львов",1500,600,"Software Engineer",3,0,"C","",24,"мужской","Высшее","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Embedded"
"154","Днепр.",575,0,"Junior QA engineer",1,0.25,"","Manual QA",23,"женский","Высшее","False","ниже среднего","до 1000 человек","Продуктовая","Веб-разработка"
"155","Харьков",2300,500,"Software Engineer",8.5,1.5,"Python","",31,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","Desktop Applications,Веб-разработка"
"156","Киев",1350,0,"QA engineer",1.75,1.5,"","General QA",22,"мужской","Высшее","False","средний","свыше 1000 человек","Аутсорсинговая","Desktop Applications,Финансы и банки"
"157","Харьков",1850,200,"Senior Software Engineer",3.5,2,"Objective-C","",25,"мужской","Высшее","False","средний","до 200 человек","Аутсорсинговая","iOS"
"158","Киев",3000,1000,"Senior Software Engineer",10,0.75,"JavaScript","",30,"мужской","Высшее","False","элементарный","свыше 1000 человек","Аутсорсинговая","Веб-разработка"
"159","Одесса",3000,800,"Senior Software Engineer",10,0,"C++","",36,"мужской","Среднее","False","средний","до 200 человек","Аутстаффинговая","Desktop Applications"
"160","Киев",2000,1000,"Software Engineer",4,0,"Objective-C","",24,"мужской","Высшее","False","ниже среднего","до 50 человек","Аутсорсинговая","iOS"
"161","Харьков",1300,300,"Project manager",3,1,"","",27,"мужской","Высшее","False","продвинутый","до 50 человек","Продуктовая","Веб-разработка"
"162","Киев",800,100,"Дизайнер",10,4,"","",27,"мужской","Высшее","False","средний","до 50 человек","Стартап","Android,Другое"
"163","Киев",2600,100,"Software Engineer",10,2,"C#/.NET","",34,"мужской","Высшее","False","продвинутый","свыше 1000 человек","Продуктовая","Веб-разработка"
"164","Киев",1700,400,"Дизайнер",5,0.5,"","",26,"женский","Высшее","False","средний","до 200 человек","Продуктовая",""
"165","Киев",2000,0,"Software Engineer",10,4.5,"C#/.NET","",32,"женский","Кандидат","False","выше среднего","до 200 человек","Аутсорсинговая","Веб-разработка"
"166","Днепр.",1450,700,"Software Engineer",1.5,0,"PHP","",23,"мужской","Высшее","False","ниже среднего","до 10 человек","Продуктовая","Веб-разработка"
"167","Львов",1200,300,"Project manager",3,3,"","",24,"мужской","Высшее","False","выше среднего","до 1000 человек","Аутсорсинговая","Android,iOS"
"168","Днепр.",750,300,"Junior Software Engineer",0.75,0.75,"Java","",22,"мужской","Незаконченное высшее","True","средний","до 1000 человек","Продуктовая","Финансы и банки"
"169","Киев",2100,1300,"Software Engineer",3,0.75,"PHP","",25,"мужской","Высшее","False","продвинутый","до 50 человек","Аутсорсинговая","Веб-разработка,Корпоративные системы"
"170","Днепр.",2000,800,"Software Engineer",2,1,"C#/.NET","",26,"мужской","Высшее","False","средний","до 10 человек","Аутсорсинговая","Веб-разработка"
"171","Донецк",400,0,"Верстальщик",2.5,0,"","",32,"мужской","Незаконченное высшее","False","средний","до 10 человек","Другая","Веб-разработка"
"172","Житомир",1300,200,"Software Engineer",5.5,4,"Objective-C","",26,"мужской","Высшее","False","средний","до 200 человек","Другая","iOS"
"173","Киев",1000,440,"Технический писатель",8,4,"","",34,"женский","Высшее","False","продвинутый","до 10 человек","Стартап","Веб-разработка"
