"city","experience","salary","position","specialisation","freq"
"Інше","1-3 роки","1000 - 1500","Junior","Automation QA",6
"Інше","1-3 роки","1000 - 1500","Junior","General QA",1
"Інше","1-3 роки","1000 - 1500","Junior","Manual QA",38
"Інше","1-3 роки","1000 - 1500","Manager","Manual QA",1
"Інше","1-3 роки","1000 - 1500","Middle","Automation QA",3
"Інше","1-3 роки","1000 - 1500","Middle","General QA",10
"Інше","1-3 роки","1000 - 1500","Middle","Manual QA",46
"Інше","1-3 роки","1000 - 1500","Middle","Performance QA",1
"Інше","1-3 роки","1000 - 1500","Team Lead","Manual QA",2
"Інше","1-3 роки","1500 - 2000","Junior","Automation QA",5
"Інше","1-3 роки","1500 - 2000","Junior","General QA",1
"Інше","1-3 роки","1500 - 2000","Junior","Manual QA",2
"Інше","1-3 роки","1500 - 2000","Middle","Automation QA",11
"Інше","1-3 роки","1500 - 2000","Middle","General QA",5
"Інше","1-3 роки","1500 - 2000","Middle","Manual QA",44
"Інше","1-3 роки","1500 - 2000","Team Lead","Manual QA",3
"Інше","1-3 роки","2000 - 2500","Manager","Manual QA",1
"Інше","1-3 роки","2000 - 2500","Middle","Automation QA",12
"Інше","1-3 роки","2000 - 2500","Middle","General QA",8
"Інше","1-3 роки","2000 - 2500","Middle","Manual QA",25
"Інше","1-3 роки","2000 - 2500","Senior","General QA",1
"Інше","1-3 роки","2000 - 2500","Senior","Manual QA",2
"Інше","1-3 роки","2000 - 2500","Team Lead","Manual QA",1
"Інше","1-3 роки","2500 - 3000","Middle","Automation QA",11
"Інше","1-3 роки","2500 - 3000","Middle","General QA",4
"Інше","1-3 роки","2500 - 3000","Middle","Manual QA",4
"Інше","1-3 роки","2500 - 3000","Senior","Automation QA",1
"Інше","1-3 роки","2500 - 3000","Senior","General QA",3
"Інше","1-3 роки","2500 - 3000","Senior","Manual QA",2
"Інше","1-3 роки","3000 - 3500","Middle","Automation QA",4
"Інше","1-3 роки","3000 - 3500","Middle","General QA",1
"Інше","1-3 роки","3000 - 3500","Middle","Manual QA",5
"Інше","1-3 роки","3500 - 4000","Middle","Automation QA",3
"Інше","1-3 роки","3500 - 4000","Senior","Manual QA",1
"Інше","1-3 роки","4000 - 4500","Middle","General QA",1
"Інше","1-3 роки","4000 - 4500","Senior","Automation QA",1
"Інше","1-3 роки","500 - 1000","Intern/Trainee","Manual QA",1
"Інше","1-3 роки","500 - 1000","Junior","Automation QA",7
"Інше","1-3 роки","500 - 1000","Junior","General QA",3
"Інше","1-3 роки","500 - 1000","Junior","Manual QA",60
"Інше","1-3 роки","500 - 1000","Middle","Automation QA",1
"Інше","1-3 роки","500 - 1000","Middle","General QA",4
"Інше","1-3 роки","500 - 1000","Middle","Manual QA",20
"Інше","1-3 роки","500 - 1000","Team Lead","Manual QA",1
"Інше","1-3 роки",NA,"Middle","Manual QA",1
"Інше","10+ років","1000 - 1500","Junior","General QA",2
"Інше","10+ років","1500 - 2000","Junior","Automation QA",1
"Інше","10+ років","1500 - 2000","Middle","General QA",1
"Інше","10+ років","2000 - 2500","Middle","Manual QA",1
"Інше","10+ років","2000 - 2500","Senior","Automation QA",2
"Інше","10+ років","2000 - 2500","Senior","Manual QA",1
"Інше","10+ років","2500 - 3000","Middle","Manual QA",1
"Інше","10+ років","2500 - 3000","Senior","Manual QA",4
"Інше","10+ років","2500 - 3000","Tech Lead","Manual QA",1
"Інше","10+ років","3000 - 3500","Manager","Automation QA",1
"Інше","10+ років","3000 - 3500","Senior","General QA",1
"Інше","10+ років","3000 - 3500","Senior","Manual QA",4
"Інше","10+ років","3000 - 3500","Team Lead","General QA",1
"Інше","10+ років","3000 - 3500","Team Lead","Manual QA",1
"Інше","10+ років","3500 - 4000","Manager","Manual QA",1
"Інше","10+ років","3500 - 4000","Middle","Performance QA",1
"Інше","10+ років","3500 - 4000","Senior","Automation QA",1
"Інше","10+ років","3500 - 4000","Team Lead","General QA",2
"Інше","10+ років","3500 - 4000","Team Lead","Manual QA",1
"Інше","10+ років","4000 - 4500","Head","General QA",1
"Інше","10+ років","4000 - 4500","Senior","Automation QA",3
"Інше","10+ років","4000 - 4500","Senior","General QA",1
"Інше","10+ років","4000 - 4500","Team Lead","Automation QA",1
"Інше","10+ років","4000 - 4500","Team Lead","Manual QA",1
"Інше","10+ років","4500 - 5000","Manager","Manual QA",1
"Інше","10+ років","4500 - 5000","Senior","Automation QA",2
"Інше","10+ років","4500 - 5000","Senior","General QA",1
"Інше","10+ років","4500 - 5000","Senior","Performance QA",1
"Інше","10+ років","4500 - 5000","Tech Lead","Automation QA",2
"Інше","10+ років","4500 - 5000","Tech Lead","General QA",1
"Інше","10+ років","500 - 1000","Middle","Manual QA",2
"Інше","10+ років","500 - 1000","Senior","Manual QA",1
"Інше","10+ років","5000 - 5500","Senior","Automation QA",3
"Інше","10+ років","5000 - 5500","Tech Lead","Automation QA",1
"Інше","10+ років","5500 - 6000","Team Lead","General QA",1
"Інше","10+ років","6000 - 6500","Senior","Automation QA",1
"Інше","10+ років","6000 - 6500","Senior","General QA",1
"Інше","10+ років","6000 - 6500","Senior","Manual QA",1
"Інше","10+ років","6000 - 6500","Senior","Performance QA",1
"Інше","10+ років","6500 +","Architect","Automation QA",1
"Інше","10+ років","6500 +","Middle","Automation QA",1
"Інше","10+ років","6500 +","Team Lead","General QA",1
"Інше","4-6 років","1000 - 1500","Junior","Manual QA",3
"Інше","4-6 років","1000 - 1500","Middle","Automation QA",1
"Інше","4-6 років","1000 - 1500","Middle","General QA",2
"Інше","4-6 років","1000 - 1500","Middle","Manual QA",11
"Інше","4-6 років","1000 - 1500","Team Lead","Manual QA",1
"Інше","4-6 років","1500 - 2000","Junior","Manual QA",2
"Інше","4-6 років","1500 - 2000","Middle","Automation QA",1
"Інше","4-6 років","1500 - 2000","Middle","General QA",2
"Інше","4-6 років","1500 - 2000","Middle","Manual QA",15
"Інше","4-6 років","1500 - 2000","Senior","Automation QA",2
"Інше","4-6 років","1500 - 2000","Senior","Manual QA",2
"Інше","4-6 років","1500 - 2000","Team Lead","General QA",2
"Інше","4-6 років","1500 - 2000","Team Lead","Manual QA",2
"Інше","4-6 років","1500 - 2000","Tech Lead","General QA",1
"Інше","4-6 років","2000 - 2500","Middle","Automation QA",4
"Інше","4-6 років","2000 - 2500","Middle","General QA",3
"Інше","4-6 років","2000 - 2500","Middle","Manual QA",18
"Інше","4-6 років","2000 - 2500","Senior","Automation QA",1
"Інше","4-6 років","2000 - 2500","Senior","General QA",2
"Інше","4-6 років","2000 - 2500","Senior","Manual QA",7
"Інше","4-6 років","2000 - 2500","Team Lead","General QA",1
"Інше","4-6 років","2000 - 2500","Team Lead","Manual QA",1
"Інше","4-6 років","2500 - 3000","Manager","Manual QA",1
"Інше","4-6 років","2500 - 3000","Middle","Automation QA",6
"Інше","4-6 років","2500 - 3000","Middle","General QA",5
"Інше","4-6 років","2500 - 3000","Middle","Manual QA",16
"Інше","4-6 років","2500 - 3000","Senior","Automation QA",2
"Інше","4-6 років","2500 - 3000","Senior","General QA",3
"Інше","4-6 років","2500 - 3000","Senior","Manual QA",13
