"Город","salary","Должность","exp","Язык.программирования"
"1847","Киев",375,"Системный администратор",0.5,""
"1848","Днепр.",625,"Software Engineer",2.5,"C++"
"1849","Симферополь",2000,"Director of Engineering / Program Director",5,""
"1850","Киев",2000,"Senior QA engineer",4,""
"1851","Киев",1300,"Junior Software Engineer",0.75,"C++"
"1852","Херсон",625,"Team lead",2,""
"1853","Киев",312.5,"Junior Software Engineer",0.5,"PHP"
"1854","Харьков",1800,"Software Engineer",2.5,"Java"
"1855","Киев",3200,"QA Tech Lead",7,""
"1856","Киев",1750,"Software Engineer",3,"C#/.NET"
"1857","Харьков",350,"Junior Software Engineer",1,"Java"
"1858","Одесса",2600,"Team lead",4,""
"1859","Харьков",1800,"Senior QA engineer",6,""
"1861","Харьков",1800,"Project manager",4,""
"1862","Киев",2300,"Senior QA engineer",4,""
"1863","Одесса",500,"Системный администратор",5,""
"1864","Львов",2200,"Senior Software Engineer",6.5,"Java"
"1865","Киев",2200,"Senior QA engineer",4.5,""
"1866","Запорожье",687.5,"Junior Software Engineer",1.25,"Python"
"1867","Львов",2700,"Senior Software Engineer",6,"Java"
"1868","Киев",700,"Software Engineer",3,"Python"
"1869","Львов",2300,"Software Engineer",5,"Java"
"1870","Львов",2850,"Senior Software Engineer",8,"Java"
"1871","Киев",1200,"Системный администратор",4,""
"1872","Киев",2000,"Software Engineer",1.25,"Objective-C"
"1873","Харьков",2700,"Senior Software Engineer",3,"Ruby/Rails"
"1874","Львов",2950,"Senior Software Engineer",8,"Java"
"1875","Львов",2500,"QA Tech Lead",4,""
"1876","Одесса",1400,"Software Engineer",4,"Java"
"1877","Киев",4000,"Software Engineer",9,"C++"
"1878","Киев",3000,"Software Engineer",5,"Python"
"1879","Киев",2000,"Project manager",5,""
"1880","Львов",2750,"Senior Software Engineer",6,"Java"
"1881","Киев",2100,"Software Engineer",6,"Java"
"1882","Киев",2500,"Senior Software Engineer",5,"Java"
"1883","Киев",1300,"Software Engineer",1,"Java"
"1884","Киев",1900,"Software Engineer",5,"Java"
"1885","Чернигов",937.5,"Software Engineer",5,"Java"
"1886","Киев",1500,"Системный администратор",1,""
"1887","Днепр.",500,"QA engineer",0.5,""
"1888","Днепр.",437.5,"Junior Software Engineer",1.5,"PHP"
"1889","Днепр.",2100,"Software Engineer",2.5,"Python"
"1890","Днепр.",4800,"Project manager",3,""
"1891","Киев",962.5,"Junior Software Engineer",1.25,"PHP"
"1892","Киев",1900,"Software Engineer",1.5,"Java"
"1893","Киев",1800,"Бизнес-аналитик",3,""
"1894","Харьков",1100,"Software Engineer",8,"C++"
"1895","Киев",1600,"Senior Software Engineer",4.5,"C#/.NET"
"1897","Харьков",3000,"Senior Software Engineer",8.5,"Java"
"1898","Львов",2000,"Technical Lead",3,"Python"
"1899","Киев",350,"Software Engineer",1.25,"PHP"
"1900","Киев",2400,"Senior Software Engineer",6,"C#/.NET"
"1901","Киев",2100,"Software Engineer",1,"Python"
"1902","Киев",562.5,"Системный администратор",1.25,""
"1903","Харьков",600,"Junior Software Engineer",0.5,"C#/.NET"
"1904","Киев",2500,"Системный администратор",10,""
"1905","Киев",2000,"Дизайнер",7,""
"1906","Киев",1400,"Junior Software Engineer",1,"Objective-C"
"1907","Киев",2000,"Software Engineer",5,"Java"
"1908","Киев",500,"Системный администратор",3.5,""
"1909","Львов",3000,"Senior Software Engineer",4,"Java"
"1910","Львов",300,"Junior Software Engineer",0.25,"C#/.NET"
"1911","Черкассы",1300,"Senior Software Engineer",3,"C#/.NET"
"1912","Львов",1900,"Software Engineer",5,"Java"
"1913","Киев",1900,"Software Engineer",1.75,"Java"
"1914","Харьков",2500,"Senior Software Engineer",8.5,"C#/.NET"
"1915","Львов",2800,"Senior Software Engineer",6,"Java"
"1916","Киев",2500,"Senior QA engineer",3.5,""
"1917","Киев",2300,"Senior Software Engineer",10,"C"
"1918","Киев",2300,"Software Engineer",4,"Java"
"1919","Львов",2700,"Senior Software Engineer",5,"Java"
"1920","Днепр.",1500,"Team lead",10,""
"1921","Днепр.",2300,"Дизайнер",7,""
"1922","Харьков",1750,"Senior Software Engineer",4,"C#/.NET"
"1923","Харьков",600,"Системный администратор",10,""
"1924","Киев",1100,"Software Engineer",5,"JavaScript"
"1925","Севастополь",400,"Junior Software Engineer",0,"Objective-C"
"1926","Львов",2850,"Senior Software Engineer",5,"Java"
"1927","Киев",1300,"Technical Lead",6.5,"Delphi"
"1928","Харьков",1400,"Software Engineer",5,"C#/.NET"
"1929","Киев",1700,"Senior QA engineer",5,""
"1930","Киев",1200,"Junior Software Engineer",1.5,"Java"
"1931","Киев",3800,"Senior Software Engineer",7,"Java"
"1932","Киев",700,"Junior Software Engineer",0,"Objective-C"
"1933","Днепр.",600,"Верстальщик",0.5,""
"1934","Киев",350,"Junior QA engineer",0,""
"1935","Киев",350,"Junior QA engineer",0,""
"1936","Киев",2600,"Senior Software Engineer",5,"Java"
"1937","Киев",3000,"Technical Lead",5,"C#/.NET"
"1938","Харьков",1100,"Software Engineer",3.5,"PHP"
"1939","Киев",800,"Senior Software Engineer",1.75,"PHP"
"1940","Днепр.",1500,"Senior Software Engineer",6,"C#/.NET"
"1941","Харьков",4200,"System Architect",10,"Java"
"1942","Харьков",600,"DBA / Администратор баз данных",0.5,""
"1943","Киев",1000,"Junior Software Engineer",1,"Java"
"1944","Киев",1200,"QA engineer",2,""
"1945","Запорожье",1000,"Гейм-дизайнер",1.75,""
"1946","Киев",500,"Junior Software Engineer",0,"Java"
"1947","Днепр.",500,"Junior Software Engineer",0.25,"Python"
"1948","Львов",2000,"Project manager",0,""
"1949","Киев",3000,"Technical Lead",5.5,"Java"
"1950","Харьков",750,"Software Engineer",2,"PHP"
"1951","Киев",3000,"Team lead",4,""
"1952","Киев",5000,"Senior Software Engineer",5,"Perl"
"1953","Харьков",1800,"Software Engineer",5.5,"Java"
"1954","Донецк",1500,"Senior Software Engineer",2.5,"Java"
"1955","Киев",7000,"Director of Engineering / Program Director",10,""
"1956","Харьков",375,"Системный администратор",7,""
"1957","Луганск",2000,"Software Engineer",0.75,"Python"
"1958","Киев",2100,"Senior Software Engineer",5.5,"Java"
"1959","Киев",1600,"Senior QA engineer",7,""
"1960","Киев",2200,"Senior Software Engineer",3,"C#/.NET"
"1961","Днепр.",1500,"Software Engineer",1.5,"JavaScript"
"1962","Киев",700,"Junior Software Engineer",0.25,"Java"
"1963","Киев",870,"Дизайнер",3,""
"1964","Киев",2600,"Technical Lead",10,"SQL"
"1965","Симферополь",1250,"Software Engineer",5,"Java"
"1966","Луганск",1200,"QA engineer",3,""
"1967","Львов",2900,"Senior Software Engineer",6.5,"Java"
"1968","Харьков",1000,"Junior Software Engineer",0,"Java"
"1969","Николаев",850,"Junior Software Engineer",2,"Java"
"1970","Львов",2700,"Senior Software Engineer",6,"Java"
"1971","Киев",2500,"Junior Software Engineer",0,"Java"
"1972","Винница",500,"Junior Software Engineer",2.5,"C#/.NET"
"1973","Харьков",1200,"Software Engineer",3,"C"
"1974","Киев",800,"Junior Software Engineer",0,"Java"
"1975","Винница",400,"Junior Software Engineer",1.25,"Flex/Flash/AIR"
"1976","Харьков",2500,"Senior Software Engineer",3.5,"Objective-C"
"1977","Львов",900,"Junior Software Engineer",2,"C#/.NET"
"1978","Херсон",600,"Junior Software Engineer",0.5,"PHP"
"1979","Киев",1200,"Software Engineer",0,"C++"
"1980","Киев",1875,"Software Engineer",7,"C#/.NET"
"1981","Львов",3000,"Senior Software Engineer",9,"Java"
"1982","Житомир",1200,"Верстальщик",2,""
"1983","Полтава",1200,"Software Engineer",1.5,"PHP"
"1984","Киев",2700,"Senior Software Engineer",3.5,"Objective-C"
"1985","Киев",1800,"Technical Lead",7,"SQL"
"1986","Киев",2800,"Software Engineer",3,"Objective-C"
"1987","Киев",1800,"Дизайнер",4,""
"1988","Днепр.",3000,"Senior Software Engineer",3.5,"C#/.NET"
"1989","Львов",1900,"Software Engineer",5,"Java"
"1990","Днепр.",3000,"Technical Lead",7,"PHP"
"1991","Донецк",850,"Junior Software Engineer",0.5,"Ruby/Rails"
"1992","Харьков",1800,"QA engineer",5.5,""
"1993","Днепр.",1200,"Бизнес-аналитик",5,""
"1994","Киев",800,"Software Engineer",1.25,"Java"
"1995","Киев",3000,"Бизнес-аналитик",7,""
"1996","Львов",1100,"Software Engineer",3.5,"Perl"
"1997","Ивано-Франковск",2350,"Project manager",3,""
"1998","Львов",1200,"Software Engineer",1.25,"C#/.NET"
"1999","Луганск",1000,"Team lead",2,""
"2000","Харьков",300,"Junior Software Engineer",0,"C#/.NET"
"2001","Львов",2300,"Senior Software Engineer",4.5,"PHP"
"2002","Киев",3500,"Project manager",6,""
"2003","Киев",1000,"Junior Software Engineer",2,"Java"
"2004","Харьков",700,"Системный администратор",1.25,""
"2005","Харьков",3000,"System Architect",6.5,"C++"
"2006","Донецк",1300,"Software Engineer",3.5,"C#/.NET"
"2007","Киев",1500,"Software Engineer",5,"Python"
"2008","Львов",1700,"Senior Software Engineer",4,"Java"
"2009","Киев",1800,"Senior Software Engineer",10,"C++"
"2010","Харьков",2750,"Senior Software Engineer",4,"C#/.NET"
"2011","Севастополь",400,"Junior Software Engineer",0.25,"Objective-C"
"2012","Чернигов",2500,"Senior Software Engineer",5,"Java"
"2013","Днепр.",2200,"Senior Software Engineer",5.5,"Java"
"2014","Днепр.",3000,"Technical Lead",5,"C#/.NET"
"2015","Донецк",687.5,"Верстальщик",3.5,""
"2016","Львов",1200,"Software Engineer",1.5,"C#/.NET"
"2017","Киев",1800,"Software Engineer",1.5,"Python"
"2018","Харьков",3300,"Technical Lead",7,"PHP"
"2019","Харьков",2500,"Technical Lead",10,"C++"
"2020","Харьков",500,"Junior QA engineer",0,""
"2021","Киев",3000,"Team lead",5,""
"2022","Днепр.",1700,"QA engineer",5.5,""
"2023","Тернополь",600,"Senior Software Engineer",1.25,"PHP"
"2024","Николаев",562.5,"Системный администратор",4,""
"2025","Львов",2500,"Technical Lead",7.5,"PHP"
"2026","Киев",3000,"QA engineer",4,""
"2027","Киев",2900,"Project manager",3,""
"2028","Кировоград",2000,"Junior Software Engineer",1,"C#/.NET"
"2029","Киев",2000,"Senior QA engineer",4.5,""
"2030","Днепр.",2000,"Project manager",5.5,""
"2031","Киев",2500,"Software Engineer",5,"Java"
"2032","Киев",4375,"Senior Project Manager / Program Manager",4,""
"2033","Киев",2500,"Software Engineer",10,"C#/.NET"
"2034","Киев",3000,"Senior Software Engineer",4,"Java"
"2035","Запорожье",1500,"Software Engineer",5,"PHP"
"2036","Харьков",2100,"Software Engineer",5,"Java"
"2037","Киев",400,"Junior Software Engineer",0.5,"Java"
"2038","Киев",1000,"Junior Software Engineer",0,"C++"
"2039","Винница",900,"QA Tech Lead",8,""
"2040","Севастополь",625,"Software Engineer",5,"Perl"
"2041","Киев",2200,"Senior Software Engineer",7,"C#/.NET"
"2042","Киев",1700,"Senior Software Engineer",5,"C#/.NET"
"2043","Киев",2300,"QA Tech Lead",5,""
"2044","Херсон",1100,"Software Engineer",4,"C#/.NET"
"2045","Киев",750,"Junior Software Engineer",0.25,"C#/.NET"
"2046","Киев",2000,"Software Engineer",8,"C#/.NET"
"2047","Львов",3100,"Senior Software Engineer",8,"Java"
"2048","Харьков",1000,"Software Engineer",3,"PHP"
"2049","Харьков",400,"Технический писатель",0.5,""
"2050","Николаев",1375,"Technical Lead",4,"PHP"
"2051","Киев",2000,"Системный администратор",3,""
"2052","Луганск",375,"Junior Software Engineer",1,"PHP"
"2053","Киев",600,"Junior Software Engineer",0.5,"C#/.NET"
"2054","Киев",2500,"Senior Software Engineer",7,"C#/.NET"
"2055","Харьков",2600,"Senior Software Engineer",7,"C#/.NET"
"2056","Киев",1000,"Junior Software Engineer",1,"PHP"
"2057","Киев",3200,"Senior Software Engineer",2,"C#/.NET"
"2058","Днепр.",2600,"Technical Lead",1,"Ruby/Rails"
"2059","Львов",2000,"Director of Engineering / Program Director",10,""
"2060","Киев",2830,"Senior QA engineer",7,""
"2061","Киев",2500,"Team lead",6,""
"2062","Донецк",6000,"Software Engineer",1.25,"PHP"
"2063","Киев",2000,"Project manager",8,""
"2064","Киев",2500,"Senior Software Engineer",9,"C++"
"2065","Киев",2250,"Senior Software Engineer",3.5,"Java"
"2066","Киев",830,"Junior Software Engineer",0.25,"Java"
"2067","Киев",3000,"Senior Software Engineer",3.5,"Python"
"2068","Киев",1500,"Software Engineer",3,"PHP"
"2069","Днепр.",1300,"Software Engineer",10,"C#/.NET"
"2070","Донецк",1300,"Senior Software Engineer",4,"Java"
"2072","Киев",2800,"Software Engineer",5,"Objective-C"
"2073","Киев",2100,"Senior Project Manager / Program Manager",6,""
"2074","Львов",2800,"Senior Software Engineer",8,"Java"
"2075","Харьков",437.5,"Дизайнер",8,""
"2076","Львов",500,"Junior Software Engineer",4,"Python"
"2077","Киев",2800,"Senior Software Engineer",5,"C++"
"2078","Киев",1000,"Software Engineer",1.5,"Flex/Flash/AIR"
"2079","Винница",1500,"Senior QA engineer",5.5,""
"2080","Днепр.",500,"Junior QA engineer",0.5,""
"2081","Киев",1000,"Software Engineer",3.5,"Delphi"
"2082","Днепр.",1200,"Software Engineer",3,"Java"
"2083","Львов",2900,"Senior Software Engineer",6,"Java"
"2084","Киев",1666,"Software Engineer",1,"Python"
"2085","Киев",1550,"QA engineer",3,""
"2086","Киев",1500,"Project manager",1.5,""
"2087","Киев",800,"Team lead",0.25,""
"2088","Львов",1000,"QA engineer",2,""
"2089","Днепр.",2600,"Technical Lead",5.5,"C#/.NET"
"2090","Львов",3500,"Senior Software Engineer",10,"PHP"
"2091","Киев",2000,"Software Engineer",3.5,"Flex/Flash/AIR"
"2092","Львов",3500,"Software Engineer",8,"Java"
"2093","Днепр.",2500,"Senior Software Engineer",7,"C++"
"2094","Винница",500,"Системный администратор",4.5,""
"2095","Киев",2700,"Team lead",6,""
"2096","Киев",2500,"Senior Software Engineer",3,"Java"
"2097","Киев",750,"Software Engineer",1.5,"PHP"
"2098","Киев",1250,"Project manager",2.5,""
"2099","Киев",2000,"QA Tech Lead",3.5,""
"2100","Одесса",2000,"Team lead",2.5,""
"2101","Одесса",1800,"Project manager",4,""
"2102","Харьков",700,"Гейм-дизайнер",1.25,""
"2103","Киев",2400,"Software Engineer",4,"C#/.NET"
"2104","Харьков",2400,"Senior Software Engineer",7,"C#/.NET"
"2105","Донецк",600,"Senior Software Engineer",2,"C#/.NET"
"2106","Киев",4600,"Director of Engineering / Program Director",5,""
"2107","Львов",2100,"Senior Software Engineer",3.5,"C#/.NET"
"2108","Харьков",2450,"Senior Software Engineer",6,"C#/.NET"
"2109","Харьков",1600,"Technical Lead",6,"C++"
"2110","Львов",2800,"Senior Software Engineer",7,"Java"
"2111","Киев",2700,"Project manager",10,""
"2112","Винница",1000,"Software Engineer",3,"Objective-C"
"2113","Харьков",300,"Junior Software Engineer",1,"PHP"
"2114","Львов",1500,"QA engineer",3.5,""
"2115","Киев",3000,"Senior Software Engineer",6,"Java"
"2116","Киев",2500,"Senior Software Engineer",6,"SQL"
"2117","Одесса",3300,"Project manager",3,""
"2118","Харьков",500,"Junior QA engineer",0.5,""
"2119","Львов",1400,"QA engineer",5,""
"2120","Киев",2250,"Senior Software Engineer",6,"C#/.NET"
"2121","Харьков",900,"Дизайнер",2.5,""
"2122","Львов",1900,"Software Engineer",5,"Java"
"2123","Киев",1900,"Системный администратор",7.5,""
"2124","Львов",3900,"Technical Lead",8,"Python"
"2125","Одесса",2500,"Software Engineer",3,"Objective-C"
"2126","Киев",3100,"Senior Software Engineer",0,"Java"
"2127","Хмельницкий",1700,"Software Engineer",3,"PHP"
"2129","Киев",1200,"Бизнес-аналитик",2,""
"2130","Киев",2350,"Senior Software Engineer",6,"C#/.NET"
"2131","Киев",2550,"Project manager",3,""
"2132","Винница",500,"Junior Software Engineer",0.25,"Java"
"2133","Харьков",500,"Системный администратор",10,""
"2134","Киев",875,"Системный администратор",3.5,""
"2135","Киев",3000,"Senior Software Engineer",5.5,"Objective-C"
"2136","Запорожье",2000,"Junior Software Engineer",2,"PHP"
"2137","Киев",1200,"QA engineer",1.5,""
"2138","Львов",2300,"Senior Software Engineer",5,"JavaScript"
"2140","Киев",500,"Junior QA engineer",1,""
"2141","Киев",3300,"Project manager",6.5,""
"2142","Киев",2500,"Senior Software Engineer",10,"C"
"2143","Киев",2500,"Software Engineer",5,"SQL"
"2144","Львов",300,"Junior Software Engineer",0.5,"C++"
"2145","Киев",1100,"QA engineer",1.5,""
"2146","Днепр.",2000,"Бизнес-аналитик",0,""
"2147","Одесса",2000,"Senior Software Engineer",4,"C++"
"2148","Львов",300,"Junior Software Engineer",0.5,"Java"
"2149","Харьков",1600,"Software Engineer",3,"Objective-C"
"2150","Луганск",750,"Software Engineer",7,"Python"
"2151","Киев",3500,"Senior Software Engineer",5,"Java"
"2152","Львов",600,"Junior Software Engineer",1,"Ruby/Rails"
"2153","Львов",1200,"Software Engineer",4,"Delphi"
"2154","Киев",750,"Системный администратор",3,""
"2155","Киев",1100,"Project manager",8,""
"2156","Киев",1200,"Software Engineer",1.75,"C#/.NET"
"2157","Киев",2000,"System Architect",4,"C#/.NET"
"2158","Днепр.",2200,"Системный администратор",6.5,""
"2159","Киев",1100,"Junior QA engineer",0.5,""
"2160","Львов",1700,"Senior QA engineer",4,""
"2161","Одесса",700,"Software Engineer",2,"JavaScript"
"2162","Киев",750,"Технический писатель",0.25,""
"2163","Львов",2000,"Software Engineer",3,"PHP"
"2164","Киев",900,"Project manager",5,""
"2165","Днепр.",2500,"Technical Lead",6,"Python"
"2166","Харьков",3500,"Software Engineer",5,"Java"
"2167","Киев",1900,"QA Tech Lead",7,""
"2168","Львов",2700,"Senior Software Engineer",3.5,"Java"
"2169","Харьков",1000,"Software Engineer",3,"SQL"
"2170","Львов",300,"Junior QA engineer",0.5,""
"2171","Киев",700,"Системный администратор",1,""
"2172","Днепр.",800,"QA engineer",2.5,""
"2173","Херсон",400,"Верстальщик",2,""
"2174","Донецк",1000,"Software Engineer",1,"Objective-C"
"2175","Ровно",300,"DBA / Администратор баз данных",9,""
"2176","Львов",900,"Software Engineer",1,"Ruby/Rails"
"2177","Ивано-Франковск",650,"Software Engineer",5,"C#/.NET"
"2178","Одесса",500,"DBA / Администратор баз данных",1.25,""
"2179","Киев",625,"Junior Software Engineer",2,"Java"
"2180","Киев",700,"Junior Software Engineer",0,"C++"
"2181","Киев",4000,"Senior Software Engineer",8,"C++"
"2182","Киев",1950,"Senior QA engineer",5,""
"2183","Киев",750,"Junior Software Engineer",1.25,"C#/.NET"
"2184","Харьков",1000,"Software Engineer",3,"C#/.NET"
"2185","Львов",2300,"Software Engineer",5,"PHP"
"2186","Киев",500,"Junior QA engineer",0.75,""
"2187","Львов",1800,"Team lead",3,""
"2188","Киев",2700,"Team lead",5,""
"2189","Киев",1700,"Software Engineer",3.5,"C#/.NET"
"2190","Винница",2100,"Project manager",2,""
"2191","Киев",1000,"Project manager",1.5,""
"2192","Харьков",1850,"Software Engineer",5,"C#/.NET"
"2193","Львов",1700,"Software Engineer",4,"C#/.NET"
"2194","Киев",800,"Software Engineer",1.5,"Java"
"2195","Харьков",3000,"Director of Engineering / Program Director",8,""
"2196","Харьков",400,"Junior Software Engineer",0.5,"PHP"
"2197","Харьков",2500,"Senior Software Engineer",5.5,"C#/.NET"
"2198","Харьков",1400,"Software Engineer",3,"PHP"
"2199","Киев",5000,"Software Engineer",5,"JavaScript"
"2200","Киев",750,"Junior Software Engineer",0.75,"PHP"
"2201","Львов",1800,"Senior Software Engineer",6,"Ruby/Rails"
"2202","Львов",450,"Junior QA engineer",1.25,""
"2203","Запорожье",600,"Software Engineer",5,"Java"
"2204","Киев",6000,"Senior Software Engineer",10,"PHP"
"2205","Харьков",4000,"Team lead",10,""
"2206","Харьков",600,"Junior Software Engineer",0.25,"Java"
"2207","Днепр.",800,"Junior Software Engineer",1.5,"C#/.NET"
"2208","Харьков",600,"Junior QA engineer",0.75,""
"2209","Харьков",300,"Верстальщик",1,""
"2210","Киев",2800,"Team lead",7.5,""
"2211","Одесса",2600,"Senior Software Engineer",4.5,"Java"
"2212","Днепр.",662.5,"Junior Software Engineer",0.5,"Java"
"2213","Львов",2100,"Team lead",9,""
"2214","Харьков",400,"Junior QA engineer",0,""
"2215","Днепр.",1500,"Software Engineer",2,"C++"
"2216","Одесса",1500,"Senior QA engineer",6,""
"2217","Киев",3200,"Senior Software Engineer",10,"Java"
"2218","Львов",1200,"Software Engineer",2,"C#/.NET"
"2219","Львов",2500,"Team lead",10,""
"2220","Киев",1300,"Project manager",5,""
"2221","Днепр.",1000,"QA engineer",1.25,""
"2222","Днепр.",2750,"Technical Lead",5,"PHP"
"2223","Львов",2700,"Senior Software Engineer",5.5,"Java"
"2224","Киев",2500,"Senior Software Engineer",5.5,"Java"
"2225","Киев",1800,"Дизайнер",8,""
"2226","Киев",3200,"Software Engineer",5,"JavaScript"
"2227","Одесса",1000,"Software Engineer",4,"PHP"
"2228","Киев",800,"Junior Software Engineer",1,"PHP"
"2229","Киев",3300,"Senior Software Engineer",6.5,"C#/.NET"
"2230","Харьков",1550,"Software Engineer",7,"Java"
"2231","Львов",800,"Software Engineer",2.5,"C++"
"2232","Киев",2000,"Senior QA engineer",2.5,""
"2233","Киев",3000,"QA Tech Lead",4.5,""
"2234","Львов",2100,"Senior QA engineer",6,""
"2235","Львов",830,"Junior Software Engineer",1,"Ruby/Rails"
"2236","Чернигов",2500,"Team lead",8,""
"2237","Киев",2000,"Software Engineer",3,"Java"
"2238","Винница",1000,"Software Engineer",0.75,"Java"
"2239","Днепр.",3000,"Project manager",10,""
"2240","Винница",2000,"Software Engineer",3,"C#/.NET"
"2241","Николаев",1600,"Senior QA engineer",5,""
"2242","Харьков",1500,"Software Engineer",1.5,"PHP"
"2243","Сумы",600,"Director of Engineering / Program Director",5,""
"2244","Винница",1000,"Дизайнер",5,""
"2245","Харьков",800,"Software Engineer",0.75,"PHP"
"2246","Ивано-Франковск",320,"Junior QA engineer",0,""
"2247","Львов",700,"QA engineer",2,""
"2248","Киев",1700,"Software Engineer",5.5,"Java"
"2249","Киев",2600,"Software Engineer",3,"JavaScript"
"2250","Киев",1200,"Senior Software Engineer",4.5,"C++"
"2251","Киев",2000,"Software Engineer",8,"C#/.NET"
"2252","Киев",450,"Junior QA engineer",0.5,""
"2253","Киев",3500,"Technical Lead",5,"Java"
"2254","Одесса",1800,"Software Engineer",4.5,"Objective-C"
"2255","Львов",1800,"Senior Project Manager / Program Manager",6,""
"2256","Харьков",2800,"Project manager",2,""
"2257","Днепр.",437.5,"Системный администратор",3,""
"2258","Киев",3000,"Senior Software Engineer",3.5,"PHP"
"2259","Львов",1800,"Software Engineer",1.5,"C#/.NET"
"2260","Киев",2300,"Senior QA engineer",0.75,""
"2261","Ивано-Франковск",600,"Верстальщик",1,""
"2262","Киев",2500,"Senior Software Engineer",9,"C#/.NET"
"2263","Киев",1200,"Software Engineer",3,"PHP"
"2264","Киев",2500,"Software Engineer",3,"Ruby/Rails"
"2265","Харьков",800,"Junior QA engineer",1,""
"2266","Харьков",2000,"Senior Software Engineer",5,"PHP"
"2267","Днепр.",1300,"Software Engineer",3,"Java"
"2268","Днепр.",960,"Технический писатель",10,""
"2269","Харьков",1400,"Software Engineer",5.5,"PHP"
"2270","Днепр.",2200,"Senior Software Engineer",6,"PHP"
"2271","Харьков",500,"Junior Software Engineer",0.5,"PHP"
"2272","Харьков",1300,"Software Engineer",8,"Python"
"2273","Киев",2500,"Team lead",6,""
"2274","Харьков",1200,"Software Engineer",3,"PHP"
"2275","Харьков",1950,"Senior Software Engineer",5,"PHP"
"2276","Киев",1600,"Junior Software Engineer",2.5,"PHP"
"2277","Севастополь",2000,"Technical Lead",7,"SQL"
"2278","Харьков",2000,"Senior Software Engineer",4.5,"PHP"
"2279","Львов",750,"Software Engineer",1.5,"PHP"
"2280","Львов",620,"Junior Software Engineer",0.75,"Java"
"2281","Киев",2700,"Senior Software Engineer",10,"Java"
"2282","Харьков",3800,"Technical Lead",10,"Java"
"2283","Киев",1000,"Junior Software Engineer",1.5,"C#/.NET"
"2284","Харьков",2000,"Senior Software Engineer",10,"PHP"
"2285","Днепр.",2100,"Technical Lead",3,"Java"
"2286","Киев",1200,"QA engineer",5.5,""
"2287","Запорожье",1500,"Senior Software Engineer",9,"C++"
"2288","Киев",3500,"Senior Software Engineer",7,"PHP"
"2289","Ивано-Франковск",1100,"Senior Software Engineer",6,"Java"
"2290","Киев",1000,"Junior Software Engineer",0.75,"Objective-C"
"2291","Киев",1500,"Бизнес-аналитик",10,""
"2292","Харьков",1000,"QA engineer",1,""
"2293","Харьков",1600,"Senior Software Engineer",3.5,"PHP"
"2294","Киев",2400,"Software Engineer",5,"PHP"
"2295","Киев",2000,"Software Engineer",1.25,"PHP"
"2296","Киев",1000,"Software Engineer",1.25,"C#/.NET"
"2297","Севастополь",1000,"Software Engineer",5,"C#/.NET"
"2298","Запорожье",750,"Software Engineer",3,"C#/.NET"
"2299","Днепр.",1200,"Верстальщик",4.5,""
"2300","Херсон",2000,"Senior Software Engineer",6,"C#/.NET"
"2301","Днепр.",1900,"Senior Software Engineer",5,"C#/.NET"
"2302","Киев",1250,"Software Engineer",3,"PHP"
"2303","Одесса",3000,"Дизайнер",6,""
"2304","Харьков",2400,"Software Engineer",4,"Objective-C"
"2305","Черновцы",1500,"Senior Software Engineer",6.5,"Java"
"2306","Киев",1000,"Junior Software Engineer",0.75,"C#/.NET"
"2307","Киев",2700,"Senior Software Engineer",7,"Java"
"2308","Днепр.",437.5,"Системный администратор",7,""
"2309","Киев",2000,"Senior Software Engineer",3.5,"PHP"
"2310","Днепр.",2500,"Project manager",4.5,""
"2311","Сумы",325,"Software Engineer",0.5,"Ruby/Rails"
"2312","Одесса",1800,"Software Engineer",1.5,"C#/.NET"
"2313","Луганск",2000,"Software Engineer",1,"C#/.NET"
"2314","Харьков",2100,"Senior Software Engineer",7,"C"
"2315","Киев",1200,"Software Engineer",3,"JavaScript"
"2316","Киев",1100,"Software Engineer",2,"PHP"
"2317","Харьков",2500,"Senior Project Manager / Program Manager",10,""
"2318","Львов",2300,"Senior Software Engineer",5,"Java"
"2319","Харьков",2000,"Technical Lead",10,"PHP"
"2320","Харьков",2050,"QA Tech Lead",8,""
"2321","Киев",1600,"Senior QA engineer",4.5,""
"2322","Черкассы",450,"Software Engineer",1,"Java"
"2323","Донецк",1900,"Project manager",3.5,""
"2324","Львов",2300,"Senior Software Engineer",1.5,"C#/.NET"
"2325","Харьков",650,"Системный администратор",3,""
"2326","Киев",1200,"Верстальщик",3,""
"2327","Киев",2250,"Technical Lead",3.5,"PHP"
"2328","Харьков",900,"Software Engineer",10,"C#/.NET"
"2329","Киев",1000,"Дизайнер",4,""
"2330","Ивано-Франковск",400,"Junior Software Engineer",1,"JavaScript"
"2331","Днепр.",1000,"Junior Software Engineer",1,"JavaScript"
"2332","Днепр.",1200,"Software Engineer",1.25,"Python"
"2333","Харьков",1800,"Software Engineer",5.5,"Java"
"2334","Харьков",600,"Software Engineer",2,"PHP"
"2335","Киев",4000,"Software Engineer",7,"C#/.NET"
"2336","Киев",2000,"Senior Project Manager / Program Manager",5,""
"2337","Киев",2600,"Software Engineer",3,"PHP"
"2338","Киев",875,"Software Engineer",3,"PHP"
"2339","Запорожье",1000,"Senior Software Engineer",2,"Python"
"2340","Киев",2700,"DBA / Администратор баз данных",4,""
"2341","Одесса",2000,"Software Engineer",5,"Java"
"2342","Днепр.",2250,"Senior Software Engineer",10,"C#/.NET"
"2343","Донецк",375,"Junior Software Engineer",0.5,"C++"
"2344","Львов",800,"Software Engineer",3,"PHP"
